ἐν	ἐν	PREP	_	
Ἱππολύτῳ	Ἱππόλυτος	NN	number=SINGULAR|gender=MASCULINE|case=DATIVE	
Εὐριπιδείῳ	Εὐριπίδειος	ADJ	number=SINGULAR|gender=MASCULINE|case=DATIVE	
πάλιν	πάλιν	ADV	_	
ἡ	ὁ		number=SINGULAR|gender=FEMININE|case=NOMINATIVE	
Ἀφροδίτη	Ἀφροδίτη	NN	number=SINGULAR|gender=FEMININE|case=NOMINATIVE	
φησίν	φημί	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
εἰς	εἰς	PREP	_	
τὸν	ὁ		number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
πότον	πότος	NN	number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
δ᾽	δέ	ADV	_	
ἦν	εἰμί	VB	person=PERSON_3|number=SINGULAR|tense=IMP|mood=INDICATIVE|voice=ACTIVE	
συμπαρειληφώς	συμπαραλαμβάνω	VB	number=SINGULAR|tense=PERF|mood=PARTICIPLE|voice=ACTIVE|gender=MASCULINE|case=NOMINATIVE	
τινας	τις	PRON	number=PLURAL|gender=MASCULINE|case=ACCUSATIVE	
ἐκ	ἐκ	PREP	_	
τῆς	ὁ		number=SINGULAR|gender=FEMININE|case=GENITIVE	
πόλεως	πόλις	NN	number=SINGULAR|gender=FEMININE|case=GENITIVE	
τῶν	ὁ		number=PLURAL|gender=MASCULINE|case=GENITIVE	
ἐπιγελᾶν	ἐπιγελάω	VB	number=SINGULAR|tense=PR|mood=INFINITIVE|voice=ACTIVE	
εἰθισμένων	ἐθίζω	VB	number=PLURAL|tense=PERF|mood=PARTICIPLE|gender=MASCULINE|case=GENITIVE	
ἅπαντα	ἅπας	ADJ	number=PLURAL|gender=NEUTER|case=ACCUSATIVE	
τοῖς	ὁ		number=PLURAL|gender=MASCULINE|case=DATIVE	
τρέφουσιν	τρέφω	VB	number=PLURAL|tense=PR|mood=PARTICIPLE|voice=ACTIVE|gender=MASCULINE|case=DATIVE	
αἰεὶ	ἀεί	ADV	_	
πρὸς	πρός	PREP	_	
χάριν	χάρις	NN	number=SINGULAR|gender=FEMININE|case=DATIVE	
Γναθαίνης	Γνάθαινα	NN	number=SINGULAR|gender=FEMININE|case=GENITIVE	
μὲν	μέν	ADV	_	
οὕτως	οὕτως	ADV	_	
[0]			_	
εὐφυεῖς	εὐφυής	ADJ	number=PLURAL|gender=MASCULINE|case=ACCUSATIVE	
ὀδόντας	ὀδούς	NN	number=PLURAL|gender=MASCULINE|case=ACCUSATIVE	
ἔσχεν	ἔχω	VB	person=PERSON_3|number=SINGULAR|mood=INDICATIVE|voice=ACTIVE	
περὶ	περί	PREP	_	
ἧς	ὅς	PRON	number=SINGULAR|gender=FEMININE|case=GENITIVE	
φησι	φημί	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
Κλείταρχος	Κλείταρχος	NN	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
ὡς	ὡς	ADV	_	
αἰτίας	αἰτία	NN	number=SINGULAR|gender=FEMININE|case=GENITIVE	
γενομένης	γίγνομαι	VB	number=SINGULAR|mood=PARTICIPLE|gender=FEMININE|case=GENITIVE	
τοῦ	ὁ		number=SINGULAR|gender=NEUTER|case=GENITIVE	
ἐμπρησθῆναι	ἐμπίμπρημι	VB	mood=INFINITIVE|voice=PASSIVE	
τὰ	ὁ		number=PLURAL|gender=NEUTER|case=ACCUSATIVE	
ἐν	ἐν	PREP	_	
Περσεπόλει	Περσέπολις	NN	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
βασίλεια	βασίλειον	NN	number=PLURAL|gender=NEUTER|case=ACCUSATIVE	
ὃς	ὅς	PRON	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
καὶ	καί	ADV	_	
περὶ	περί	PREP	_	
Σινώπης	Σινώπη	NN	number=SINGULAR|gender=FEMININE|case=GENITIVE	
τῆς	ὁ		number=SINGULAR|gender=FEMININE|case=GENITIVE	
ἑταίρας	ἑταίρα	NN	number=SINGULAR|gender=FEMININE|case=GENITIVE	
τάδε	ὅδε	PRON	number=PLURAL|gender=NEUTER|case=ACCUSATIVE	
λέγει	λέγωVB	person=PERSON_3|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
ὡς	ὡς	CONJ	_	
ἔοικε	ἔοικα	VB	person=PERSON_3|number=SINGULAR|tense=PERF|mood=INDICATIVE|voice=ACTIVE	
γάρ	γάρ	ADV	_	
τὸ	ὁ		number=SINGULAR|gender=NEUTER|case=NOMINATIVE	
κάλλος	κάλλος	NN	number=SINGULAR|gender=NEUTER|case=NOMINATIVE	
βασιλείας	βασιλεία	NN	number=SINGULAR|gender=FEMININE|case=GENITIVE	
οἰκεῖόν	οἰκεῖος	ADJ	number=SINGULAR|gender=NEUTER|case=NOMINATIVE	
ἐστιν	εἰμί	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
ἡ	ὁ		number=SINGULAR|gender=FEMININE|case=NOMINATIVE	
δὲ	δέ	ADV	_	
ἀποφύσα	ἀποφυσάω	VB	person=PERSON_2|number=SINGULAR|tense=PR|mood=IMPERATIVE|voice=ACTIVE	
εἶπε	εἶπον	VB	person=PERSON_3|number=SINGULAR|mood=INDICATIVE|voice=ACTIVE	
καὶ	καί	CONJ	_	
τῷ	ὁ		number=SINGULAR|gender=MASCULINE|case=DATIVE	
κάτω	κάτω	ADV	_	
χρῶ	χράωVB	person=PERSON_2|number=SINGULAR|tense=PR|mood=IMPERATIVE	
οὐκ	οὐ	ADV	_	
οἶσθ᾽	οἶδα	VB	person=PERSON_2|number=SINGULAR|tense=PERF|mood=INDICATIVE|voice=ACTIVE	
ὅτι	ὅτι	CONJ	_	
οὔκ	οὐ	ADV	_	
ἐστιν	εἰμί	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
ἥδιστον	ἡδύς	ADJ	number=SINGULAR|gender=NEUTER|case=NOMINATIVE|degree=SUPERLATIVE	
ἀποθανεῖν	ἀποθνήσκω	VB	mood=INFINITIVE|voice=ACTIVE	
