νῦν	νῦν	ADV	_	
δʼ	δέ	ADV	_	
ἐπʼ	ἐπί	PREP	_	
ἀδήλοις	ἄδηλος	ADJ	number=PLURAL|gender=NEUTER|case=DATIVE	
οὖσι	εἰμί	VB	number=PLURAL|tense=PR|mood=PARTICIPLE|voice=ACTIVE|gender=NEUTER|case=DATIVE	
τοῖς	ὁ		number=PLURAL|gender=NEUTER|case=DATIVE	
ἀπὸ	ἀπό	PREP	_	
τούτων	οὗτος	PRON	number=PLURAL|gender=NEUTER|case=GENITIVE	
ἐμαυτῷ	ἐμαυτοῦ	PRON	number=SINGULAR|gender=MASCULINE|case=DATIVE	
γενησομένοις	γίγνομαι	VB	number=PLURAL|tense=FUTURE|mood=PARTICIPLE|gender=NEUTER|case=DATIVE	
ὅμως	ὅμως	CONJ	_	
ἐπὶ	ἐπί	PREP	_	
τῷ	ὁ		number=SINGULAR|gender=NEUTER|case=DATIVE	
συνοίσειν	συμφέρω	VB	tense=FUTURE|mood=INFINITIVE|voice=ACTIVE	
ὑμῖν	σύ	PRON	number=PLURAL|gender=MASCULINE|case=DATIVE	
ἂν	ἐάν	CONJ	_	
πράξητε	πράσσω	VB	person=PERSON_2|number=PLURAL|mood=SUBJUNCTIVE|voice=ACTIVE	
ταῦτα	οὗτος	PRON	number=PLURAL|gender=NEUTER|case=ACCUSATIVE	
πεπεῖσθαι	πείθω	VB	tense=PERF|mood=INFINITIVE	
λέγειν	λέγωVB	tense=PR|mood=INFINITIVE|voice=ACTIVE	
αἱροῦμαι	αἱρέω	VB	person=PERSON_1|number=SINGULAR|tense=PR|mood=INDICATIVE	
εἶεν	εἰμί	VB	person=PERSON_3|number=PLURAL|tense=PR|voice=ACTIVE	
ὡς	ὡς	CONJ	_	
μὲν	μέν	ADV	_	
οὖν	οὖν	ADV	_	
δεῖ	δεῖ	VB	person=PERSON_3|number=SINGULAR|tense=IMP|mood=INDICATIVE|voice=ACTIVE	
τὰ	ὁ		number=PLURAL|gender=NEUTER|case=ACCUSATIVE	
προσήκοντα	προσήκω	VB	number=PLURAL|tense=PR|mood=PARTICIPLE|voice=ACTIVE|gender=NEUTER|case=ACCUSATIVE	
ποιεῖν	ποιέω	VB	tense=PR|mood=INFINITIVE|voice=ACTIVE	
ἐθέλοντας	ἐθέλω	VB	number=PLURAL|tense=PR|mood=PARTICIPLE|voice=ACTIVE|gender=MASCULINE|case=ACCUSATIVE	
ὑπάρχειν	ὑπάρχω	VB	tense=PR|mood=INFINITIVE|voice=ACTIVE	
ἅπαντας	ἅπας	ADJ	number=PLURAL|gender=MASCULINE|case=ACCUSATIVE	
ἑτοίμως	ἑτοῖμος	ADV	_	
ὡς	ὡς	ADV	_	
ἐγνωκότων	γιγνώσκω	VB	number=PLURAL|tense=PERF|mood=PARTICIPLE|voice=ACTIVE|gender=MASCULINE|case=GENITIVE	
ὑμῶν	σύ	PRON	number=PLURAL|gender=MASCULINE|case=GENITIVE	
καὶ	καί	CONJ	_	
πεπεισμένων	πείθω	VB	number=PLURAL|tense=PERF|mood=PARTICIPLE|gender=MASCULINE|case=GENITIVE	
παύομαι	παύω	VB	person=PERSON_1|number=SINGULAR|tense=PR|mood=INDICATIVE	
λέγων	λέγωVB	number=SINGULAR|tense=PR|mood=PARTICIPLE|voice=ACTIVE|gender=MASCULINE|case=NOMINATIVE	
ἀλλʼ	ἀλλά	ADV	_	
εἶδεν	εἶδον	VB	person=PERSON_3|number=SINGULAR|mood=INDICATIVE|voice=ACTIVE	
ὦ	ὦ		_	
ἄνδρες	ἀνήρ	NN	number=PLURAL|gender=MASCULINE|case=VOCATIVE	
Ἀθηναῖοι	Ἀθηναῖος	ADJ	number=PLURAL|gender=MASCULINE|case=VOCATIVE	
τοῦτο	οὗτος	PRON	number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
καλῶς	καλός	ADV	_	
ἐκεῖνος	ἐκεῖνος	PRON	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
ὅτι	ὅτιCONJ	_	
ταῦτα	οὗτος	ADJ	number=PLURAL|gender=NEUTER|case=NOMINATIVE	
μέν	μέν	ADV	_	
ἐστιν	εἰμί	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
ἅπαντα	ἅπας	ADJ	number=PLURAL|gender=NEUTER|case=NOMINATIVE	
τὰ	ὁ		number=PLURAL|gender=NEUTER|case=NOMINATIVE	
χωρίʼ	χωρίον	NN	number=PLURAL|gender=NEUTER|case=NOMINATIVE	
ἆθλα	ἆθλον	NN	number=PLURAL|gender=NEUTER|case=NOMINATIVE	
τοῦ	ὁ		number=SINGULAR|gender=MASCULINE|case=GENITIVE	
πολέμου	πόλεμος	NN	number=SINGULAR|gender=MASCULINE|case=GENITIVE	
κείμενʼ	κεῖμαι	VB	number=PLURAL|tense=PR|mood=PARTICIPLE|gender=NEUTER|case=NOMINATIVE	
ἐν	ἐν	PREP	_	
μέσῳ	μέσος	ADJ	number=SINGULAR|gender=NEUTER|case=DATIVE	
φύσει	φύσις	NN	number=SINGULAR|gender=FEMININE|case=DATIVE	
δʼ	δέ	CONJ	_	
ὑπάρχει	ὑπάρχω	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
τοῖς	ὁ		number=PLURAL|gender=MASCULINE|case=DATIVE	
παροῦσι	πάρειμιVB	number=PLURAL|tense=PR|mood=PARTICIPLE|voice=ACTIVE|gender=MASCULINE|case=DATIVE	
τὰ	ὁ		number=PLURAL|gender=NEUTER|case=NOMINATIVE	
τῶν	ὁ		number=PLURAL|gender=MASCULINE|case=GENITIVE	
ἀπόντων	ἄπειμιVB	number=PLURAL|tense=PR|mood=PARTICIPLE|voice=ACTIVE|gender=MASCULINE|case=GENITIVE	
καὶ	καί	CONJ	_	
τοῖς	ὁ		number=PLURAL|gender=MASCULINE|case=DATIVE	
ἐθέλουσι	ἐθέλω	VB	number=PLURAL|tense=PR|mood=PARTICIPLE|voice=ACTIVE|gender=MASCULINE|case=DATIVE	
