Ἲς	ἴς	NN	number=SINGULAR|gender=FEMININE|case=NOMINATIVE	
καὶ	καί	ADV	_	
τῷ	ὁ		number=SINGULAR|gender=MASCULINE|case=DATIVE	
ποταμῷ	ποταμός	NN	number=SINGULAR|gender=MASCULINE|case=DATIVE	
τὸ	ὁ		number=SINGULAR|gender=NEUTER|case=NOMINATIVE	
οὔνομα	ὄνομα	NN	number=SINGULAR|gender=NEUTER|case=NOMINATIVE	
ἐστιν	εἰμί	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
ἀμείβεται	ἀμείβω	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=INDICATIVE	
ὁ	ὁ		number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
Ἄδρηστος	ἄδραστος	ADJ	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
ὦ	ὦ		_	
βασιλεῦ	βασιλεύς	NN	number=SINGULAR|gender=MASCULINE|case=VOCATIVE	
ἄλλως	ἄλλως	ADV	_	
μὲν	μέν	ADV	_	
ἔγωγε	ἐγώ	PRON	person=PERSON_1|number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
ἂν	ἄνADV	_	
οὐκ	οὐ	ADV	_	
ἤια	εἶμι	VB	person=PERSON_1|number=SINGULAR|tense=IMP|mood=INDICATIVE|voice=ACTIVE	
ἐς	εἰς	PREP	_	
ἄεθλον	ἆθλος	NN	number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
τοιόνδε	τοιόσδε	ADJ	number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
καὶ	καί	ADV	_	
οὕτω	οὕτως	ADV	_	
τοῖσι	ὁ		number=PLURAL|gender=MASCULINE|case=DATIVE	
τὰς	ὁ		number=PLURAL|gender=FEMININE|case=ACCUSATIVE	
νήσους	νῆσος	NN	number=PLURAL|gender=FEMININE|case=ACCUSATIVE	
οἰκημένοισι	οἰκέω	VB	number=PLURAL|tense=PERF|mood=PARTICIPLE|gender=MASCULINE|case=DATIVE	
Ἴωσι	̓́Ιων	NN	number=PLURAL|gender=MASCULINE|case=GENITIVE	
ξεινίην	ξενία	NN	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
συνεθήκατο	συντίθημι	VB	person=PERSON_3|number=SINGULAR|mood=INDICATIVE	
