ἐγὼ	ἐγώ	PRON	person=PERSON_1|number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
τοίνυν	τοίνυν	ADV	_	
ἐξ	ἐκ	PREP	_	
ἀρχῆς	ἀρχή	NN	number=SINGULAR|gender=FEMININE|case=GENITIVE	
ὑμῖν	σύ	PRON	person=PERSON_2|number=PLURAL|gender=MASCULINE|case=DATIVE	
ἅπαντα	ἅπας	ADJ	number=PLURAL|gender=NEUTER|case=ACCUSATIVE	
ἐπιδείξω	ἐπιδείκνυμι	VB	person=PERSON_1|number=SINGULAR|tense=FUTURE|mood=INDICATIVE|voice=ACTIVE	
τὰ	ὁ		number=PLURAL|gender=NEUTER|case=ACCUSATIVE	
ἐμαυτοῦ	ἐμαυτοῦ	PRON	number=SINGULAR|gender=MASCULINE|case=GENITIVE	
πράγματα	πρᾶγμα	NN	number=PLURAL|gender=NEUTER|case=ACCUSATIVE	
οὐδὲν	οὐδείς	PRON	number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
παραλείπων	παραλείπω	VB	number=SINGULAR|tense=PR|mood=PARTICIPLE|voice=ACTIVE|gender=MASCULINE|case=NOMINATIVE	
ἀλλὰ	ἀλλά	CONJ	_	
λέγων	λέγωVB	number=SINGULAR|tense=PR|mood=PARTICIPLE|voice=ACTIVE|gender=MASCULINE|case=NOMINATIVE	
τ-	τά		number=PLURAL|gender=NEUTER|case=ACCUSATIVE	
ἀληθῆ	ἀληθής	ADJ	number=PLURAL|gender=NEUTER|case=ACCUSATIVE	
Νόμος	νόμος	NN	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
ἐγὼ	ἐγώ	PRON	person=PERSON_1|number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
δʼ	δέ	ADV	_	
εἶπον	εἶπον	VB	person=PERSON_1|number=SINGULAR|mood=INDICATIVE|voice=ACTIVE	
ὅτι	ὅτιCONJ	_	
οὐκ	οὐ	ADV	_	
ἐγώ	ἐγώ	PRON	person=PERSON_1|number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
σε	σύ	PRON	person=PERSON_2|number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
ἀποκτενῶ	ἀποκτείνω	VB	person=PERSON_1|number=SINGULAR|tense=FUTURE|mood=INDICATIVE|voice=ACTIVE	
ἀλλʼ	ἀλλά	CONJ	_	
ὁ	ὁ		number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
τῆς	ὁ		number=SINGULAR|gender=FEMININE|case=GENITIVE	
πόλεως	πόλις	NN	number=SINGULAR|gender=FEMININE|case=GENITIVE	
νόμος	νόμος	NN	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
ὃν	ὅς	PRON	number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
σὺ	σύ	PRON	person=PERSON_2|number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
παραβαίνων	παραβαίνω	VB	number=SINGULAR|tense=PR|mood=PARTICIPLE|voice=ACTIVE|gender=MASCULINE|case=NOMINATIVE	
περὶ	περί	PREP	_	
ἐλάττονος	ἐλάσσων	ADJ	number=SINGULAR|gender=NEUTER|case=GENITIVE|degree=COMPARATIVE	
τῶν	ὁ		number=PLURAL|gender=FEMININE|case=GENITIVE	
ἡδονῶν	ἡδονά	NN	number=PLURAL|gender=FEMININE|case=GENITIVE	
ἐποιήσω	ποιέω	VB	person=PERSON_2|number=SINGULAR|mood=INDICATIVE	
καὶ	καί	CONJ	_	
μᾶλλον	μᾶλλον	ADV	_	
εἵλου	αἱρέω	VB	person=PERSON_2|number=SINGULAR|mood=INDICATIVE	
τοιοῦτον	τοιοῦτος	ADJ	number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
ἁμάρτημα	ἁμάρτημα	NN	number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
ἐξαμαρτάνειν	ἐξαμαρτάνω	VB	tense=PR|mood=INFINITIVE|voice=ACTIVE	
εἰς	εἰς	PREP	_	
τὴν	ὁ		number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
γυναῖκα	γυνή	NN	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
τὴν	ὁ		number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
ἐμὴν	ἐμός	ADJ	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
καὶ	καί	CONJ	_	
εἰς	εἰς	PREP	_	
τοὺς	ὁ		number=PLURAL|gender=MASCULINE|case=ACCUSATIVE	
παῖδας	παῖς	NN	number=PLURAL|gender=MASCULINE|case=ACCUSATIVE	
τοὺς	ὁ		number=PLURAL|gender=MASCULINE|case=ACCUSATIVE	
ἐμοὺς	ἐμός	ADJ	number=PLURAL|gender=MASCULINE|case=ACCUSATIVE	
ἢ	ἤCONJ	_	
τοῖς	ὁ		number=PLURAL|gender=MASCULINE|case=DATIVE	
νόμοις	νόμος	NN	number=PLURAL|gender=MASCULINE|case=DATIVE	
πείθεσθαι	πείθω	VB	tense=PR|mood=INFINITIVE	
καὶ	καί	CONJ	_	
κόσμιος	κόσμιος	ADJ	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
εἶναι	εἰμί	VB	tense=PR|mood=INFINITIVE|voice=ACTIVE	
[0]			_	
