Ἄγιδος		NN	number=SINGULAR|gender=MASCULINE|case=GENITIVE	
δὲ		ADV	_	
βασιλεύοντος		VB	number=SINGULAR|tense=PR|mood=PARTICIPLE|voice=ACTIVE|gender=MASCULINE|case=GENITIVE	
εἰσερρύη		VB	person=PERSON_3|number=SINGULAR|mood=INDICATIVE|voice=PASSIVE	
νόμισμα		NN	number=SINGULAR|gender=NEUTER|case=NOMINATIVE	
πρῶτον		ADJ	number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
εἰς		PREP	_	
τὴν			number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
Σπάρτην		NN	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
καὶ		CONJ	_	
μετὰ		PREP	_	
τοῦ			number=SINGULAR|gender=NEUTER|case=GENITIVE	
νομίσματος		NN	number=SINGULAR|gender=NEUTER|case=GENITIVE	
πλεονεξία		NN	number=SINGULAR|gender=FEMININE|case=NOMINATIVE	
καὶ		CONJ	_	
πλούτου		NN	number=SINGULAR|gender=MASCULINE|case=GENITIVE	
ζῆλος		NN	number=SINGULAR|gender=NEUTER|case=NOMINATIVE	
ἐπέβη		VB	person=PERSON_3|number=SINGULAR|mood=INDICATIVE|voice=ACTIVE	
διὰ		PREP	_	
Λύσανδρον		NN	number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
ὃς		PRON	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
αὐτὸς		PRON	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
ὢν		VB	number=SINGULAR|tense=PR|mood=PARTICIPLE|voice=ACTIVE|gender=MASCULINE|case=NOMINATIVE	
ἀνάλωτος		ADJ	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
ὑπὸ		PREP	_	
χρημάτων		NN	number=PLURAL|gender=NEUTER|case=GENITIVE	
ἐνέπλησε		VB	person=PERSON_3|number=SINGULAR|mood=INDICATIVE|voice=ACTIVE	
τὴν			number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
πατρίδα		NN	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
φιλοπλουτίας		NN	number=SINGULAR|gender=FEMININE|case=GENITIVE	
καὶ		CONJ	_	
τρυφῆς		NN	number=SINGULAR|gender=FEMININE|case=GENITIVE	
χρυσὸν		NN	number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
