ὑμεῖς	σύ	PRON	number=PLURAL|gender=MASCULINE|case=NOMINATIVE	
δὲ	δέ	ADV	_	
νυκτὶ	νύξ	NN	number=SINGULAR|gender=FEMININE|case=DATIVE	
μὲν	μέν	ADV	_	
δήπου	δήπου	ADV	_	
ὅσαπερ	ὅσος	ADJ	number=PLURAL|gender=NEUTER|case=ACCUSATIVE	
οἱ	ὁ		number=PLURAL|gender=MASCULINE|case=NOMINATIVE	
ἄλλοι	ἄλλος	PRON	number=PLURAL|gender=MASCULINE|case=NOMINATIVE	
ἡμέρᾳ	ἡμέρα	NN	number=SINGULAR|gender=FEMININE|case=DATIVE	
δύναισθʼ	δύνομαι	VB	person=PERSON_2|number=PLURAL|tense=PR	
ἂν	ἄνADV	_	
χρῆσθαι	χράομαι	VB	tense=PR|mood=INFINITIVE	
πόνους	πόνος	NN	number=PLURAL|gender=MASCULINE|case=ACCUSATIVE	
δὲ	δέ	ADV	_	
τοῦ	ὁ		number=SINGULAR|gender=NEUTER|case=GENITIVE	
ζῆν	ζάω	VB	tense=PR|mood=INFINITIVE|voice=ACTIVE	
ἡδέως	ἡδέως	ADV	_	
ἡγεμόνας	ἡγεμών	NN	number=PLURAL|gender=MASCULINE|case=ACCUSATIVE	
νομίζετε	νομίζω	VB	person=PERSON_2|number=PLURAL|tense=PR|mood=INDICATIVE|voice=ACTIVE	
λιμῷ	λιμός	NN	number=SINGULAR|gender=MASCULINE|case=DATIVE	
δὲ	δέ	ADV	_	
ὅσαπερ	ὅσος	ADJ	number=PLURAL|gender=NEUTER|case=NOMINATIVE	
ὄψῳ	ὄψον	NN	number=SINGULAR|gender=NEUTER|case=DATIVE	
διαχρῆσθε	διαχράομαι	VB	person=PERSON_2|number=PLURAL|tense=PR|mood=INDICATIVE	
ὑδροποσίαν	ὑδροποσία	NN	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
δὲ	δέ	ADV	_	
