ἐν	ἐν	PREP	_	
τούτῳ	οὗτος	PRON	number=SINGULAR|gender=NEUTER|case=DATIVE	
δὲ	δέ	ADV	_	
ἧκον	ἥκω	VB	person=PERSON_3|number=PLURAL|tense=IMP|mood=INDICATIVE|voice=ACTIVE	
οἱ	ὁ		number=PLURAL|gender=MASCULINE|case=NOMINATIVE	
διάδοχοι	διάδοχος	NN	number=PLURAL|gender=MASCULINE|case=NOMINATIVE	
τῶν	ὁ		number=PLURAL|gender=MASCULINE|case=GENITIVE	
Συρακοσίων	Συρακούσιος	NN	number=PLURAL|gender=MASCULINE|case=GENITIVE	
εἰς	εἰς	PREP	_	
Μίλητον	Μίλητος	NN	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
καὶ	καί	CONJ	_	
παρέλαβον	παραλαμβάνω	VB	person=PERSON_3|number=PLURAL|mood=INDICATIVE|voice=ACTIVE	
τὰς	ὁ		number=PLURAL|gender=FEMININE|case=ACCUSATIVE	
ναῦς	ναῦς	NN	number=PLURAL|gender=FEMININE|case=ACCUSATIVE	
καὶ	καί	CONJ	_	
τὸ	ὁ		number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
στράτευμα	στράτευμα	NN	number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
μετὰ	μετά	PREP	_	
δὲ	δέ	ADV	_	
ταῦτα	οὗτος	PRON	number=PLURAL|gender=NEUTER|case=ACCUSATIVE	
οὐ	οὐ	ADV	_	
πολλαῖς	πολύς	ADJ	number=PLURAL|gender=FEMININE|case=DATIVE	
ἡμέραις	ἡμέρα	NN	number=PLURAL|gender=FEMININE|case=DATIVE	
ὕστερον	ὕστερον	NN	number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
ἦλθεν	ἔρχομαι	VB	person=PERSON_3|number=SINGULAR|mood=INDICATIVE|voice=ACTIVE	
ἐξ	ἐκ	PREP	_	
Ἀθηνῶν	Ἀθῆναι	NN	number=PLURAL|gender=FEMININE|case=GENITIVE	
Θυμοχάρης	Θυμοχάρης	NN	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
ἔχων	ἔχω	VB	number=SINGULAR|tense=PR|mood=PARTICIPLE|voice=ACTIVE|gender=MASCULINE|case=NOMINATIVE	
ναῦς	ναῦς	NN	number=PLURAL|gender=FEMININE|case=ACCUSATIVE	
ὀλίγας	ὀλίγος	ADJ	number=PLURAL|gender=FEMININE|case=ACCUSATIVE	
ἐπεὶ	ἐπεί	CONJ	_	
δὲ	δέ	ADV	_	
πάντῃ	πάντῃ	ADV	_	
οἱ	ὁ		number=PLURAL|gender=MASCULINE|case=NOMINATIVE	
πολέμιοι	πολέμιος	ADJ	number=PLURAL|gender=MASCULINE|case=NOMINATIVE	
κατεῖχον	κατέχω	VB	person=PERSON_3|number=PLURAL|tense=IMP|mood=INDICATIVE|voice=ACTIVE	
οὐδὲν	οὐδείς	PRON	number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
ἔχοντες	ἔχω	VB	number=PLURAL|tense=PR|mood=PARTICIPLE|voice=ACTIVE|gender=MASCULINE|case=NOMINATIVE	
ὅ	ὅς	PRON	number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
τι	τις	ADJ	number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
ποιήσαιεν	ποιέω	VB	person=PERSON_3|number=PLURAL|voice=ACTIVE	
παρέδοσαν	παραδίδωμι	VB	person=PERSON_3|number=PLURAL|mood=INDICATIVE|voice=ACTIVE	
σφᾶς	σφεῖς	PRON	number=PLURAL|gender=MASCULINE|case=ACCUSATIVE	
αὐτούς	αὐτός	ADJ	number=PLURAL|gender=MASCULINE|case=ACCUSATIVE	
εἰ	εἰ	CONJ	_	
δέ	δέ	ADV	_	
τις	τις	PRON	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
ἐπικαλοίη	ἐπικαλέω	VB	person=PERSON_3|number=SINGULAR|tense=PR|voice=ACTIVE	
τι	τις	PRON	number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
αὐτοῖς	αὐτός	PRON	number=PLURAL|gender=MASCULINE|case=DATIVE	
λόγον	λόγος	NN	number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
ἔφασαν	φημί	VB	person=PERSON_3|number=PLURAL|tense=IMP|mood=INDICATIVE|voice=ACTIVE	
χρῆναι	χρή	VB	tense=PR|mood=INFINITIVE|voice=ACTIVE	
διδόναι	δίδωμι	VB	tense=PR|mood=INFINITIVE|voice=ACTIVE	
μεμνημένους	μιμνήσκω	VB	number=PLURAL|tense=PERF|mood=PARTICIPLE|gender=MASCULINE|case=ACCUSATIVE	
Ὅσας	ὅσος	ADJ	number=PLURAL|gender=FEMININE|case=ACCUSATIVE	
τε	τε	ADV	_	
ναυμαχίας	ναυμαχία	NN	number=PLURAL|gender=FEMININE|case=ACCUSATIVE	
αὐτοὶ	αὐτός	PRON	number=PLURAL|gender=MASCULINE|case=NOMINATIVE	
καθʼ	κατά	PREP	_	
αὑτοὺς	ἑαυτοῦ	PRON	number=PLURAL|gender=MASCULINE|case=ACCUSATIVE	
νενικήκατε	νικάω	VB	person=PERSON_2|number=PLURAL|tense=PERF|mood=INDICATIVE|voice=ACTIVE	
καὶ	καί	ADV	_	
ναῦς	ναῦς	NN	number=PLURAL|gender=FEMININE|case=ACCUSATIVE	
εἰλήφατε	λαμβάνω	VB	person=PERSON_2|number=PLURAL|tense=PERF|mood=INDICATIVE|voice=ACTIVE	
ὅσα	ὅσος	ADJ	number=PLURAL|gender=NEUTER|case=ACCUSATIVE	
τε	τε	CONJ	_	
μετὰ	μετά	PREP	_	
τῶν	ὁ		number=PLURAL|gender=MASCULINE|case=GENITIVE	
ἄλλων	ἄλλος	PRON	number=PLURAL|gender=MASCULINE|case=GENITIVE	
ἀήττητοι	ἀήττητος	ADJ	number=PLURAL|gender=MASCULINE|case=NOMINATIVE	
