sed	sed	CONJ	_	
haec	hic	PRON	number=PLURAL|gender=NEUTER|case=NOMINATIVE	
prius	prior	ADV	degree=COMPARATIVE	
fuere	sum	VB	person=PERSON_3|number=PLURAL|tense=PERF|mood=INDICATIVE|voice=ACTIVE	
ne	ne	ADV	_	
-que	que	CONJ	_	
ulla	ullus	ADJ	number=PLURAL|gender=NEUTER|case=NOMINATIVE	
vota	votum	NN	number=PLURAL|gender=NEUTER|case=NOMINATIVE	
litoralibus	litoralis	ADJ	number=PLURAL|gender=MASCULINE|case=DATIVE	
deis	deus	NN	number=PLURAL|gender=MASCULINE|case=DATIVE	
sibi	sui	PRON	number=PLURAL|gender=MASCULINE|case=DATIVE	
esse	sum	VB	tense=PR|mood=INFINITIVE|voice=ACTIVE	
facta	facio	VB	number=PLURAL|tense=PERF|mood=PARTICIPLE|voice=PASSIVE|gender=NEUTER|case=NOMINATIVE	
cum	cum	CONJ	_	
veniret	venio	VB	person=PERSON_3|number=SINGULAR|tense=IMP|mood=SUBJUNCTIVE|voice=ACTIVE	
a	ab	PREP	_	
mari	mare	NN	number=SINGULAR|gender=NEUTER|case=ABLATIVE	
novissimo	novissimus	ADJ	number=SINGULAR|gender=NEUTER|case=ABLATIVE	
hunc	hic	PRON	number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
ad	ad	PREP	_	
usque	usque	ADV	_	
limpidum	limpidus	ADJ	number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
lacum	lacus	NN	number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
Phaselus	phaselus	NN	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
ille	ille	PRON	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
quem	qui	NN	number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
videtis	video	VB	person=PERSON_2|number=PLURAL|tense=PR|mood=INDICATIVE|voice=ACTIVE	
hospites	hospes	NN	number=PLURAL|gender=MASCULINE|case=VOCATIVE	
ait	aio	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
fuisse	sum	VB	tense=PERF|mood=INFINITIVE|voice=ACTIVE	
navium	navis	NN	number=PLURAL|gender=FEMININE|case=GENITIVE	
celerrimus	celer	ADJ	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE|degree=SUPERLATIVE	
ne	ne	ADV	_	
-que	que	CONJ	_	
ullius	ullus	ADJ	number=SINGULAR|gender=FEMININE|case=GENITIVE	
natantis	nato	VB	number=SINGULAR|tense=PR|mood=PARTICIPLE|gender=FEMININE|case=GENITIVE	
impetum	impetus	NN	number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
trabis	trabs	NN	number=SINGULAR|gender=FEMININE|case=GENITIVE	
nequisse	nequeo	VB	tense=PERF|mood=INFINITIVE|voice=ACTIVE	
praeterire	praetereo	VB	tense=PR|mood=INFINITIVE|voice=ACTIVE	
si	si	CONJ	_	
-ve	ve	CONJ	_	
palmulis	palmula	NN	number=PLURAL|gender=FEMININE|case=ABLATIVE	
opus	opus	NN	number=SINGULAR|gender=NEUTER|case=NOMINATIVE	
foret	sum	VB	person=PERSON_3|number=SINGULAR|tense=IMP|mood=SUBJUNCTIVE|voice=ACTIVE	
volare	volo	VB	tense=PR|mood=INFINITIVE|voice=ACTIVE	
si	si	CONJ	_	
-ve	ve	CONJ	_	
linteo	linteum	NN	number=SINGULAR|gender=NEUTER|case=ABLATIVE	
ultima	ulter	ADJ	number=SINGULAR|gender=FEMININE|case=ABLATIVE|degree=SUPERLATIVE	
ex	ex	PREP	_	
origine	origo	NN	number=SINGULAR|gender=FEMININE|case=ABLATIVE	
tuo	tuus	ADJ	number=SINGULAR|gender=NEUTER|case=ABLATIVE	
stetisse	sto	VB	tense=PERF|mood=INFINITIVE|voice=ACTIVE	
dicit	dico	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
in	in	PREP	_	
cacumine	cacumen	NN	number=SINGULAR|gender=NEUTER|case=ABLATIVE	
tuo	tuus	ADJ	number=SINGULAR|gender=NEUTER|case=ABLATIVE	
imbuisse	imbuo	VB	tense=PERF|mood=INFINITIVE|voice=ACTIVE	
palmulas	palmula	NN	number=PLURAL|gender=FEMININE|case=ACCUSATIVE	
in	in	PREP	_	
aequore	aequor	NN	number=SINGULAR|gender=NEUTER|case=ABLATIVE	
et	et	CONJ	_	
inde	inde	ADV	_	
tot	tot	IRREG	_	
per	per	PREP	_	
impotentia	impotens	ADJ	number=PLURAL|gender=NEUTER|case=ACCUSATIVE	
freta	fretum	NN	number=PLURAL|gender=NEUTER|case=ACCUSATIVE	
erum	erus	NN	number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
tulisse	fero	VB	tense=PERF|mood=INFINITIVE|voice=ACTIVE	
laeva	laevus	ADJ	number=SINGULAR|gender=FEMININE|case=NOMINATIVE	
si	si	CONJ	_	
-ve	ve	CONJ	_	
dextera	dexter	ADJ	number=SINGULAR|gender=FEMININE|case=NOMINATIVE	
vocaret	voco	VB	person=PERSON_3|number=SINGULAR|tense=IMP|mood=SUBJUNCTIVE|voice=ACTIVE	
aura	aura	NN	number=SINGULAR|gender=FEMININE|case=NOMINATIVE	
si	si	CONJ	_	
-ve	ve	CONJ	_	
utrumque	uter	ADJ	number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
Iuppiter	Iuppiter	NN	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
simul	simul	ADV	_	
secundus	secundus	ADJ	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
incidisset	incido	VB	person=PERSON_3|number=SINGULAR|tense=PLUSQUAMPERFECT|mood=SUBJUNCTIVE|voice=ACTIVE	
in	in	PREP	_	
pedem	pes	NN	number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
nam	nam	CONJ	_	
Cytorio	Cytorius	ADJ	number=SINGULAR|gender=NEUTER|case=ABLATIVE|degree=POSITIVE	
in	in	PREP	_	
iugo	jugum	NN	number=SINGULAR|gender=NEUTER|case=ABLATIVE	
loquente	loquor	VB	number=SINGULAR|tense=PR|mood=PARTICIPLE|gender=NEUTER|case=ABLATIVE	
saepe	saepe	ADV	_	
sibilum	sibilus	ADJ	number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
edidit	edo	VB	person=PERSON_3|number=SINGULAR|tense=PERF|mood=INDICATIVE|voice=ACTIVE	
coma	coma	NN	number=SINGULAR|gender=FEMININE|case=NOMINATIVE	
et	et	CONJ	_	
hoc	hic	PRON	number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
negat	nego	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
