Druides	Druis	NN	number=PLURAL|gender=MASCULINE|case=NOMINATIVE	
a	ab	PREP	_	
bello	bellum	NN	number=SINGULAR|gender=NEUTER|case=ABLATIVE	
abesse	absum	VB	tense=PR|mood=INFINITIVE|voice=ACTIVE	
consuerunt	consuo	VB	person=PERSON_3|number=PLURAL|tense=PERF|mood=INDICATIVE|voice=ACTIVE	
ne	ne	ADV	_	
-que	que	CONJ	_	
tributa	tributum	NN	number=PLURAL|gender=NEUTER|case=ACCUSATIVE	
una	una	ADV	_	
cum	cum	PREP	_	
reliquis	reliquus	ADJ	number=PLURAL|gender=MASCULINE|case=ABLATIVE	
pendunt	pendo	VB	person=PERSON_3|number=PLURAL|tense=PR|mood=INDICATIVE|voice=ACTIVE	
Viri	vir	NN	number=PLURAL|gender=MASCULINE|case=NOMINATIVE	
quantas	quantus	ADJ	number=PLURAL|gender=FEMININE|case=ACCUSATIVE	
pecunias	pecunia	NN	number=PLURAL|gender=FEMININE|case=ACCUSATIVE	
ab	ab	PREP	_	
uxoribus	uxor	NN	number=PLURAL|gender=FEMININE|case=ABLATIVE	
dotis	dos	NN	number=SINGULAR|gender=FEMININE|case=GENITIVE	
nomine	nomen	NN	number=SINGULAR|gender=NEUTER|case=ABLATIVE	
acceperunt	accipio	VB	person=PERSON_3|number=PLURAL|tense=PERF|mood=INDICATIVE|voice=ACTIVE	
tantas	tantus	ADJ	number=PLURAL|gender=FEMININE|case=ACCUSATIVE	
ex	ex	PREP	_	
suis	suus	ADJ	number=PLURAL|gender=NEUTER|case=ABLATIVE	
bonis	bonus	ADJ	number=PLURAL|gender=NEUTER|case=ABLATIVE	
aestimatione	aestimatio	NN	number=SINGULAR|gender=FEMININE|case=ABLATIVE	
facta	facio	VB	number=SINGULAR|tense=PERF|mood=PARTICIPLE|voice=PASSIVE|gender=FEMININE|case=ABLATIVE	
cum	cum	PREP	_	
dotibus	dos	NN	number=PLURAL|gender=FEMININE|case=ABLATIVE	
communicant	communico	VB	person=PERSON_3|number=PLURAL|tense=PR|mood=INDICATIVE|voice=ACTIVE	
Itaque	ita	ADV	_	
annos	annus	NN	number=PLURAL|gender=MASCULINE|case=ACCUSATIVE	
nonnulli	nonnullus	ADJ	number=PLURAL|gender=MASCULINE|case=NOMINATIVE	
vicenos	viceni	ADJ	number=PLURAL|gender=MASCULINE|case=ACCUSATIVE	
in	in	PREP	_	
disciplina	disciplina	NN	number=SINGULAR|gender=FEMININE|case=ABLATIVE	
permanent	permaneo	VB	person=PERSON_3|number=PLURAL|tense=PR|mood=INDICATIVE|voice=ACTIVE	
Funera	funus	NN	number=PLURAL|gender=NEUTER|case=NOMINATIVE	
sunt	sum	VB	person=PERSON_3|number=PLURAL|tense=PR|mood=INDICATIVE|voice=ACTIVE	
pro	pro	PREP	_	
cultu	cultus	NN	number=SINGULAR|gender=MASCULINE|case=ABLATIVE	
Gallorum	Gallus	ADJ	number=PLURAL|gender=MASCULINE|case=GENITIVE	
magnifica	magnificus	ADJ	number=PLURAL|gender=NEUTER|case=NOMINATIVE	
et	et	CONJ	_	
sumptuosa	sumptuosus	ADJ	number=PLURAL|gender=NEUTER|case=NOMINATIVE	
In	in	PREP	_	
primis	primus	ADJ	number=PLURAL|gender=MASCULINE|case=ABLATIVE	
hoc	hic	PRON	number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
volunt	volo	VB	person=PERSON_3|number=PLURAL|tense=PR|mood=INDICATIVE|voice=ACTIVE	
persuadere	persuadeo	VB	tense=PR|mood=INFINITIVE|voice=ACTIVE	
non	non	ADV	_	
interire	intereo	VB	tense=PR|mood=INFINITIVE|voice=ACTIVE	
animas	anima	NN	number=PLURAL|gender=FEMININE|case=ACCUSATIVE	
sed	sed	CONJ	_	
ab	ab	PREP	_	
aliis	alius	NN	number=PLURAL|gender=MASCULINE|case=ABLATIVE	
post	post	PREP	_	
mortem	mors	NN	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
transire	transeo	VB	tense=PR|mood=INFINITIVE|voice=ACTIVE	
ad	ad	PREP	_	
alios	alius	NN	number=PLURAL|gender=MASCULINE|case=ACCUSATIVE	
atque	atque	CONJ	_	
hoc	hic	PRON	number=SINGULAR|gender=NEUTER|case=ABLATIVE	
maxime	maxime	ADV	_	
ad	ad	PREP	_	
virtutem	virtus	NN	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
excitari	excito	VB	tense=PR|mood=INFINITIVE|voice=PASSIVE	
putant	puto	VB	person=PERSON_3|number=PLURAL|tense=PR|mood=INDICATIVE|voice=ACTIVE	
metu	metus	NN	number=SINGULAR|gender=MASCULINE|case=ABLATIVE	
mortis	mors	NN	number=SINGULAR|gender=FEMININE|case=GENITIVE	
neglecto	neglego	VB	number=SINGULAR|tense=PERF|mood=PARTICIPLE|voice=PASSIVE|gender=MASCULINE|case=ABLATIVE	
sed	sed	CONJ	_	
cum	cum	CONJ	_	
eius	is	PRON	number=SINGULAR|gender=NEUTER|case=GENITIVE	
generis	genus	NN	number=SINGULAR|gender=NEUTER|case=GENITIVE	
copia	copia	NN	number=SINGULAR|gender=FEMININE|case=NOMINATIVE	
defecit	deficio	VB	person=PERSON_3|number=SINGULAR|tense=PERF|mood=INDICATIVE|voice=ACTIVE	
etiam	etiam	ADV	_	
ad	ad	PREP	_	
innocentium	innocens	ADJ	number=PLURAL|gender=MASCULINE|case=GENITIVE	
supplicia	supplicium	NN	number=PLURAL|gender=NEUTER|case=ACCUSATIVE	
descendunt	descendo	VB	person=PERSON_3|number=PLURAL|tense=PR|mood=INDICATIVE|voice=ACTIVE	
Hi	hic	PRON	number=PLURAL|gender=MASCULINE|case=NOMINATIVE	
cum	cum	CONJ	_	
est	sum	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
usus	usus	NN	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
atque	atque	CONJ	_	
aliquod	aliqui	PRON	number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
bellum	bellum	NN	number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
incidit	incido	VB	person=PERSON_3|number=SINGULAR|tense=PERF|mood=INDICATIVE|voice=ACTIVE	
quod	qui	NN	number=SINGULAR|gender=NEUTER|case=NOMINATIVE	
fere	fere	ADV	_	
ante	ante	PREP	_	
Caesaris	Caesar	NN	number=SINGULAR|gender=MASCULINE|case=GENITIVE	
adventum	adventus	NN	number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
quotannis	quot	ADV	_	
accidere	accido	VB	tense=PR|mood=INFINITIVE|voice=ACTIVE	
solebat	soleo	VB	person=PERSON_3|number=SINGULAR|tense=IMP|mood=INDICATIVE|voice=ACTIVE	
uti	uti	CONJ	_	
aut	aut	CONJ	_	
ipsi	ipse	PRON	number=PLURAL|gender=MASCULINE|case=NOMINATIVE	
iniurias	injuria	NN	number=PLURAL|gender=FEMININE|case=ACCUSATIVE	
inferrent	infero	VB	person=PERSON_3|number=PLURAL|tense=IMP|voice=ACTIVE	
aut	aut	CONJ	_	
illatas	infero	VB	number=PLURAL|tense=PERF|mood=PARTICIPLE|voice=PASSIVE|gender=FEMININE|case=ACCUSATIVE	
propulsarent	propulso	VB	person=PERSON_3|number=PLURAL|tense=IMP|mood=SUBJUNCTIVE|voice=ACTIVE	
omnes	omnis	ADJ	number=PLURAL|gender=MASCULINE|case=NOMINATIVE	
in	in	PREP	_	
