1	Ut	ut	CONJ	_	
2	lenita	lenio	VB	number=SINGULAR|tense=PERF|mood=PARTICIPLE|voice=PASSIVE|gender=FEMININE|case=NOMINATIVE	
3	dea	dea	NN	number=SINGULAR|gender=FEMININE|case=NOMINATIVE	
4	est	sum	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
5	vultus	vultus	NN	number=PLURAL|gender=MASCULINE|case=ACCUSATIVE	
6	capit	capio	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
7	illa	ille	PRON	number=SINGULAR|gender=FEMININE|case=NOMINATIVE	
8	priores	prior	ADJ	number=PLURAL|gender=MASCULINE|case=ACCUSATIVE|degree=COMPARATIVE	
9	que	que	CONJ	_	
10	fit	fio	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
11	quod	qui	PRON	number=SINGULAR|gender=NEUTER|case=NOMINATIVE	
12	ante	ante	ADV	_	
13	fuit	sum	VB	person=PERSON_3|number=SINGULAR|tense=PERF|mood=INDICATIVE|voice=ACTIVE	
1	Protinus	protinus	ADV	_	
2	alter	alter	ADJ	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
3	amat	amo	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
4	fugit	fugio	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
5	altera	alter	ADJ	number=SINGULAR|gender=FEMININE|case=NOMINATIVE	
6	nomen	nomen	NN	number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
7	amantis	amo	VB	number=SINGULAR|tense=PR|mood=PARTICIPLE|voice=ACTIVE|gender=MASCULINE|case=GENITIVE	
8	silvarum	silva	NN	number=PLURAL|gender=FEMININE|case=GENITIVE	
9	tenebris	tenebrae	NN	number=PLURAL|gender=FEMININE|case=ABLATIVE	
10	que	que	CONJ	_	
11	captivarum	captivus	ADJ	number=PLURAL|gender=FEMININE|case=GENITIVE	
12	ferarum	fera	NN	number=PLURAL|gender=FEMININE|case=GENITIVE	
13	exuviis	exuviae	NN	number=PLURAL|gender=FEMININE|case=ABLATIVE	
14	gaudens	gaudeo	VB	number=SINGULAR|tense=PR|mood=PARTICIPLE|voice=ACTIVE|gender=FEMININE|case=NOMINATIVE	
15	que	que	CONJ	_	
16	innuptae	innubo	VB	number=SINGULAR|tense=PERF|mood=PARTICIPLE|voice=PASSIVE|gender=FEMININE|case=GENITIVE	
17	aemula	aemulus	ADJ	number=SINGULAR|gender=FEMININE|case=NOMINATIVE	
18	Phoebes	Phoebe	NN	number=SINGULAR|gender=FEMININE|case=GENITIVE	
1	Quis	quis	PRON	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
2	tibi	tu	PRON	number=SINGULAR|gender=FEMININE|case=DATIVE	
3	si	si	CONJ	_	
4	sine	sine	PREP	_	
5	me	ego	PRON	number=SINGULAR|gender=MASCULINE|case=ABLATIVE	
6	fatis	fatum	NN	number=PLURAL|gender=NEUTER|case=DATIVE	
7	erepta	eripio	VB	number=SINGULAR|tense=PERF|mood=PARTICIPLE|voice=PASSIVE|gender=FEMININE|case=NOMINATIVE	
8	fuisses	sum	VB	person=PERSON_2|number=SINGULAR|tense=PLUSQUAMPERFECT|mood=SUBJUNCTIVE|voice=ACTIVE	
9	nunc	nunc	ADV	_	
10	animus	animus	NN	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
11	miseranda	misero	VB	number=PLURAL|tense=PR|mood=GERUNDIVE|voice=PASSIVE|gender=NEUTER|case=ACCUSATIVE	
