apparebunt	appareo	VB	person=PERSON_3|number=PLURAL|tense=FUTURE|mood=INDICATIVE|voice=ACTIVE	
tempore	tempus	NN	number=SINGULAR|gender=NEUTER|case=ABLATIVE	
Id	is	PRON	number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
ut	ut	CONJ	_	
comesse	comedo	VB	tense=PR|mood=INFINITIVE|voice=ACTIVE	
extractum	extraho	VB	number=SINGULAR|tense=PERF|mood=PARTICIPLE|voice=PASSIVE|gender=NEUTER|case=ACCUSATIVE	
possent	possum	VB	person=PERSON_3|number=PLURAL|tense=IMP|mood=SUBJUNCTIVE|voice=ACTIVE	
facilius	facilis	ADV	degree=COMPARATIVE	
Aquam	aqua	NN	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
coepere	coepio	VB	person=PERSON_3|number=PLURAL|tense=PERF|mood=INDICATIVE|voice=ACTIVE	
ebibere	ebibo	VB	tense=PR|mood=INFINITIVE|voice=ACTIVE	
Ergo	ergo	ADV	_	
hinc	hinc	ADV	_	
abesto	absum	VB	person=PERSON_2|number=SINGULAR|tense=FUTURE|mood=IMPERATIVE|voice=ACTIVE	
livor	livor	NN	number=SINGULAR|gender=MASCULINE|case=VOCATIVE	
ne	ne	CONJ	_	
frustra	frustra	ADV	_	
gemas	gemo	VB	person=PERSON_2|number=SINGULAR|tense=PR|mood=SUBJUNCTIVE|voice=ACTIVE	
Quoniam	quoniam	ADV	_	
mihi	ego	PRON	number=SINGULAR|gender=MASCULINE|case=DATIVE	
sollemnis	sollemnis	ADJ	number=SINGULAR|gender=FEMININE|case=NOMINATIVE	
debetur	debeo	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=PASSIVE	
gloria	gloria	NN	number=SINGULAR|gender=FEMININE|case=NOMINATIVE	
Eunuchus	eunuchus	NN	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
litigabat	litigo	VB	person=PERSON_3|number=SINGULAR|tense=IMP|mood=INDICATIVE|voice=ACTIVE	
cum	cum	PREP	_	
quodam	quidam	PRON	number=SINGULAR|gender=MASCULINE|case=ABLATIVE	
improbo	improbus	ADJ	number=SINGULAR|gender=MASCULINE|case=ABLATIVE	
Qui	qui	PRON	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
super	super	PREP	_	
obscena	obscenus	ADJ	number=PLURAL|gender=NEUTER|case=ACCUSATIVE	
dicta	dico	VB	number=PLURAL|tense=PERF|mood=PARTICIPLE|voice=PASSIVE|gender=NEUTER|case=ACCUSATIVE	
et	et	CONJ	_	
petulans	petulans	ADJ	number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
iurgium	jurgium	NN	number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
Damnum	damnum	NN	number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
insectatus	insector	VB	number=SINGULAR|tense=PERF|mood=PARTICIPLE|voice=DEPONENS|gender=MASCULINE|case=NOMINATIVE	
est	sum	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
amissi	amitto	VB	number=SINGULAR|tense=PERF|mood=PARTICIPLE|voice=PASSIVE|gender=NEUTER|case=GENITIVE	
corporis	corpus	NN	number=SINGULAR|gender=NEUTER|case=GENITIVE	
Sed	sed	CONJ	_	
iam	jam	ADV	_	
quodcumque	quicumque	PRON	number=SINGULAR|gender=NEUTER|case=NOMINATIVE	
fuerit	sum	VB	person=PERSON_3|number=SINGULAR|tense=PERF|mood=SUBJUNCTIVE|voice=ACTIVE	
ut	ut	CONJ	_	
dixit	dico	VB	person=PERSON_3|number=SINGULAR|tense=PERF|mood=INDICATIVE|voice=ACTIVE	
Sinon	Sinon	NN	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
Ad	ad	PREP	_	
regem	rex	NN	number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
cum	cum	CONJ	_	
Dardaniae	Dardanus	NN	number=SINGULAR|gender=FEMININE|case=GENITIVE	
perductus	perduco	VB	number=SINGULAR|tense=PERF|mood=PARTICIPLE|voice=PASSIVE|gender=MASCULINE|case=NOMINATIVE	
foret	sum	VB	person=PERSON_3|number=SINGULAR|tense=IMP|mood=SUBJUNCTIVE|voice=ACTIVE	
Librum	liber	NN	number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
exarabo	exaro	VB	person=PERSON_1|number=SINGULAR|tense=FUTURE|mood=INDICATIVE|voice=ACTIVE	
tertium	tertius	NRL	number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
Aesopi	Aesopus	NN	number=SINGULAR|gender=MASCULINE|case=GENITIVE	
stilo	stilus	NN	number=SINGULAR|gender=MASCULINE|case=ABLATIVE	
Honori	honor	NN	number=SINGULAR|gender=MASCULINE|case=DATIVE	
et	et	CONJ	_	
meritis	mereor	VB	number=PLURAL|tense=PERF|mood=PARTICIPLE|voice=PASSIVE|gender=NEUTER|case=DATIVE	
dedicans	dedico	VB	number=SINGULAR|tense=PR|mood=PARTICIPLE|gender=MASCULINE|case=NOMINATIVE	
illum	ille	PRON	number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
tuis	tuus	PRON	number=PLURAL|gender=NEUTER|case=DATIVE	
.			_	
Multo	multus	ADV	_	
maioris	magnus	ADJ	number=SINGULAR|gender=NEUTER|case=GENITIVE|degree=COMPARATIVE	
alapae	alapa	NN	number=PLURAL|gender=FEMININE|case=NOMINATIVE	
mecum	ego	PRON	number=SINGULAR|gender=MASCULINE|case=ABLATIVE	
veneunt	veneo	VB	person=PERSON_3|number=PLURAL|tense=PR|mood=INDICATIVE|voice=ACTIVE	
Threissa	Thracia	ADJ	number=SINGULAR|gender=FEMININE|case=NOMINATIVE	
cum	cum	CONJ	_	
gens	gens	NN	number=SINGULAR|gender=FEMININE|case=NOMINATIVE	
numeret	numero	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=SUBJUNCTIVE|voice=ACTIVE	
auctores	auctor	NN	number=PLURAL|gender=MASCULINE|case=ACCUSATIVE	
suos	suus	PRON	number=PLURAL|gender=MASCULINE|case=ACCUSATIVE	
Lino	Linus	NN	number=SINGULAR|gender=MASCULINE|case=DATIVE	
que	que	CONJ	_	
Apollo	Apollo	NN	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
sit	sum	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=SUBJUNCTIVE|voice=ACTIVE	
parens	parens	NN	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
Musa	Musa	NN	number=SINGULAR|gender=FEMININE|case=NOMINATIVE	
Orpheo	Orpheus	NN	number=SINGULAR|gender=MASCULINE|case=DATIVE	
Qui	qui	PRON	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
saxa	saxum	NN	number=PLURAL|gender=NEUTER|case=ACCUSATIVE	
cantu	cantus	NN	number=SINGULAR|gender=MASCULINE|case=ABLATIVE	
movit	moveo	VB	person=PERSON_3|number=SINGULAR|tense=PERF|mood=INDICATIVE|voice=ACTIVE	
et	et	CONJ	_	
domuit	domo	VB	person=PERSON_3|number=SINGULAR|tense=PERF|mood=INDICATIVE|voice=ACTIVE	
feras	ferus	ADJ	number=PLURAL|gender=FEMININE|case=ACCUSATIVE	
Hebri	Hebrus	NN	number=SINGULAR|gender=MASCULINE|case=GENITIVE	
que	que	CONJ	_	
tenuit	teneo	VB	person=PERSON_3|number=SINGULAR|tense=PERF|mood=INDICATIVE|voice=ACTIVE	
impetus	impetus	NN	number=PLURAL|gender=MASCULINE|case=ACCUSATIVE	
dulci	dulcis	ADJ	number=SINGULAR|gender=FEMININE|case=ABLATIVE	
mora	mora	NN	number=SINGULAR|gender=FEMININE|case=ABLATIVE	
parens	parens	NN	number=SINGULAR|gender=FEMININE|case=NOMINATIVE	
sit	sum	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=SUBJUNCTIVE|voice=ACTIVE	
Aesopi	Aesopus	NN	number=SINGULAR|gender=MASCULINE|case=GENITIVE	
ingenio	ingenium	NN	number=SINGULAR|gender=NEUTER|case=ABLATIVE	
statuam	statua	NN	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
posuere	pono	VB	person=PERSON_3|number=PLURAL|tense=PERF|mood=INDICATIVE|voice=ACTIVE	
Attici	Atticus	ADJ	number=PLURAL|gender=MASCULINE|case=NOMINATIVE	
Servum	servus	NN	number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
que	que	CONJ	_	
collocarunt	colloco	VB	person=PERSON_3|number=PLURAL|tense=PERF|mood=INDICATIVE|voice=ACTIVE	
aeterna	aeternus	ADJ	number=SINGULAR|gender=FEMININE|case=ABLATIVE	
in	in	PREP	_	
basi	basis	NN	number=SINGULAR|gender=FEMININE|case=ABLATIVE	
Patere	pateo	VB	tense=PR|mood=INFINITIVE|voice=ACTIVE	
honoris	honos	NN	number=SINGULAR|gender=MASCULINE|case=GENITIVE	
scirent	scio	VB	person=PERSON_3|number=PLURAL|tense=IMP|mood=SUBJUNCTIVE|voice=ACTIVE	
ut	ut	CONJ	_	
cuncti	cunctus	ADJ	number=PLURAL|gender=MASCULINE|case=NOMINATIVE	
viam	via	NN	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
Nec	neque	CONJ	_	
generi	genus	NN	number=SINGULAR|gender=NEUTER|case=DATIVE	
tribui	tribuo	VB	tense=PR|mood=INFINITIVE|voice=PASSIVE	
sed	sed	CONJ	_	
virtuti	virtus	NN	number=SINGULAR|gender=FEMININE|case=DATIVE	
gloriam	gloria	NN	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
Quantae	quantus	ADJ	number=SINGULAR|gender=FEMININE|case=GENITIVE	
putatis	puto	VB	person=PERSON_2|number=PLURAL|tense=PR|mood=INDICATIVE|voice=ACTIVE	
esse	sum	VB	tense=PR|mood=INFINITIVE|voice=ACTIVE	
vos	tu	PRON	number=PLURAL|gender=MASCULINE|case=ACCUSATIVE	
dementiae	dementia	NN	number=SINGULAR|gender=FEMININE|case=GENITIVE	
Qui	qui	PRON	number=PLURAL|gender=MASCULINE|case=NOMINATIVE	
capita	caput	NN	number=PLURAL|gender=NEUTER|case=ACCUSATIVE	
vestra	vester	PRON	number=PLURAL|gender=NEUTER|case=ACCUSATIVE	
non	non	ADV	_	
dubitatis	dubito	VB	person=PERSON_2|number=PLURAL|tense=PR|mood=INDICATIVE|voice=ACTIVE	
credere	credo	VB	tense=PR|mood=INFINITIVE|voice=ACTIVE	
Cui	qui	PRON	number=SINGULAR|gender=MASCULINE|case=DATIVE	
calceandos	calceo	VB	number=PLURAL|mood=GERUNDIVE|voice=PASSIVE|gender=MASCULINE|case=ACCUSATIVE	
nemo	nemo	PRON	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
commisit	committo	VB	person=PERSON_3|number=SINGULAR|tense=PERF|mood=INDICATIVE|voice=ACTIVE	
pedes	pes	NN	number=PLURAL|gender=MASCULINE|case=ACCUSATIVE	
Nihil	nihil	NN	number=SINGULAR|gender=NEUTER	
est	sum	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
Et	et	CONJ	_	
quidam	quidam	PRON	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
e	ex	PREP	_	
turba	turba	NN	number=SINGULAR|gender=FEMININE|case=ABLATIVE	
garrulus	garrulus	ADJ	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
inquit	inquam	VB	person=PERSON_3|number=SINGULAR|tense=PERF|mood=INDICATIVE|voice=ACTIVE	
Hic	hic	ADV	_	
auritulus	auritulus	NN	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
Clamorem	clamor	NN	number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
subito	subeo	ADV	_	
totis	totus	ADJ	number=PLURAL|gender=FEMININE|case=ABLATIVE	
tollit	tollo	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
viribus	vis	NN	number=PLURAL|gender=FEMININE|case=ABLATIVE	
Novo	novus	ADJ	number=SINGULAR|gender=NEUTER|case=ABLATIVE	
que	que	CONJ	_	
turbat	turbo	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
bestias	bestia	NN	number=PLURAL|gender=FEMININE|case=ACCUSATIVE	
miraculo	miraculum	NN	number=SINGULAR|gender=NEUTER|case=ABLATIVE	
quod	quod	CONJ	_	
risum	risus	NN	number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
movet	moveo	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
Et	et	CONJ	_	
quod	quod	CONJ	_	
prudenti	prudens	ADJ	number=SINGULAR|gender=NEUTER|case=ABLATIVE	
vitam	vita	NN	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
consilio	consilium	NN	number=SINGULAR|gender=NEUTER|case=ABLATIVE	
monet	moneo	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
.			_	
Quanto	quantus	ADV	_	
est	sum	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
facilius	facilis	ADJ	number=SINGULAR|gender=NEUTER|case=NOMINATIVE|degree=COMPARATIVE	
mihi	ego	PRON	number=SINGULAR|gender=MASCULINE|case=DATIVE	
sub	sub	PREP	_	
tecto	tectum	NN	number=SINGULAR|gender=NEUTER|case=ABLATIVE	
vivere	vivo	VB	tense=PR|mood=INFINITIVE|voice=ACTIVE	
Et	et	CONJ	_	
otiosum	otiosus	ADJ	number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
largo	largus	ADJ	number=SINGULAR|gender=MASCULINE|case=ABLATIVE	
satiari	satio	VB	tense=PR|mood=INFINITIVE|voice=PASSIVE	
cibo	cibus	NN	number=SINGULAR|gender=MASCULINE|case=ABLATIVE	
Causam	causa	NN	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
dixit	dico	VB	person=PERSON_3|number=SINGULAR|tense=PERF|mood=INDICATIVE|voice=ACTIVE	
Iuppiter	Juppiter	NN	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
O	o	EXCL	_	
suavis	suavis	ADJ	number=SINGULAR|gender=FEMININE|case=VOCATIVE	
anima	anima	NN	number=SINGULAR|gender=FEMININE|case=VOCATIVE	
Tum	tum	ADV	_	
sibi	sui	PRON	number=PLURAL|gender=MASCULINE|case=DATIVE	
timentes	timeo	VB	number=PLURAL|tense=PR|mood=PARTICIPLE|gender=MASCULINE|case=NOMINATIVE	
qui	qui	PRON	number=PLURAL|gender=MASCULINE|case=NOMINATIVE	
ferae	ferus	ADJ	number=SINGULAR|gender=FEMININE|case=DATIVE	
pepercerant	parco	VB	person=PERSON_3|number=PLURAL|tense=PLUSQUAMPERFECT|mood=INDICATIVE|voice=ACTIVE	
Damnum	damnum	NN	number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
haud	haud	ADV	_	
recusant	recuso	VB	person=PERSON_3|number=PLURAL|tense=PR|mood=INDICATIVE|voice=ACTIVE	
tantum	tantus	ADV	_	
pro	pro	PREP	_	
vita	vita	NN	number=SINGULAR|gender=FEMININE|case=ABLATIVE	
rogant	rogo	VB	person=PERSON_3|number=PLURAL|tense=PR|mood=INDICATIVE|voice=ACTIVE	
Caesar	Caesar	NN	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
Tiberius	Tiberius	NN	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
cum	cum	CONJ	_	
petens	peto	VB	number=SINGULAR|tense=PR|mood=PARTICIPLE|gender=MASCULINE|case=NOMINATIVE	
Neapolim	Neapolis	NN	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
In	in	PREP	_	
Misenensem	Misenum	ADJ	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
villam	villa	NN	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
venisset	venio	VB	person=PERSON_3|number=SINGULAR|tense=PLUSQUAMPERFECT|mood=SUBJUNCTIVE|voice=ACTIVE	
suam	suus	PRON	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
Quae	qui	PRON	number=SINGULAR|gender=FEMININE|case=NOMINATIVE	
monte	mons	NN	number=SINGULAR|gender=MASCULINE|case=ABLATIVE	
summo	superus	ADJ	number=SINGULAR|gender=MASCULINE|case=ABLATIVE|degree=SUPERLATIVE	
posita	pono	VB	number=SINGULAR|tense=PERF|mood=PARTICIPLE|voice=PASSIVE|gender=FEMININE|case=NOMINATIVE	
Luculli	Lucullus	NN	number=SINGULAR|gender=MASCULINE|case=GENITIVE	
manu	manus	NN	number=SINGULAR|gender=FEMININE|case=ABLATIVE	
Prospectat	prospecto	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
Siculum	Siculi	ADJ	number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
et	et	CONJ	_	
perspicit	perspicio	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
Tuscum	Tusci	ADJ	number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
mare	mare	NN	number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
mare	mare	NN	number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
Ille	ille	PRON	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
se	sui	PRON	number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
torquet	torqueo	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
diu	diu	ADV	_	
Nec	neque	CONJ	_	
quaestionis	quaestio	NN	number=SINGULAR|gender=FEMININE|case=GENITIVE	
positae	pono	VB	number=SINGULAR|tense=PERF|mood=PARTICIPLE|voice=PASSIVE|gender=FEMININE|case=GENITIVE	
causam	causa	NN	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
intellegit	intellego	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
Merito	mereo	ADV	_	
plectimur	plecto	VB	person=PERSON_1|number=PLURAL|tense=PR|mood=INDICATIVE|voice=PASSIVE	
Paucis	paucus	ADJ	number=PLURAL|gender=MASCULINE|case=ABLATIVE	
diebus	dies	NN	number=PLURAL|gender=MASCULINE|case=ABLATIVE	
interpositis	interpono	VB	number=PLURAL|tense=PERF|mood=PARTICIPLE|voice=PASSIVE|gender=MASCULINE|case=ABLATIVE	
provolat	provolo	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
Pecus	pecus	NN	number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
trucidat	trucido	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
ipsos	ipse	PRON	number=PLURAL|gender=MASCULINE|case=ACCUSATIVE	
pastores	pastor	NN	number=PLURAL|gender=MASCULINE|case=ACCUSATIVE	
necat	neco	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
Et	et	CONJ	_	
cuncta	cunctus	ADJ	number=PLURAL|gender=NEUTER|case=ACCUSATIVE	
vastans	vasto	VB	number=SINGULAR|tense=PR|mood=PARTICIPLE|gender=FEMININE|case=NOMINATIVE	
saevit	saevio	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
irato	irascor	VB	number=SINGULAR|tense=PERF|mood=PARTICIPLE|voice=DEPONENS|gender=MASCULINE|case=ABLATIVE	
impetu	impetus	NN	number=SINGULAR|gender=MASCULINE|case=ABLATIVE	
Stultum	stultus	ADJ	number=SINGULAR|gender=NEUTER|case=NOMINATIVE	
consilium	consilium	NN	number=SINGULAR|gender=NEUTER|case=NOMINATIVE	
non	non	ADV	_	
modo	modo	ADV	_	
effectu	effectus	NN	number=SINGULAR|gender=MASCULINE|case=ABLATIVE	
caret	careo	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
Sed	sed	CONJ	_	
ad	ad	PREP	_	
perniciem	pernicies	NN	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
quoque	quoque	ADV	_	
mortalis	mortalis	ADJ	number=PLURAL|gender=MASCULINE|case=ACCUSATIVE	
devocat	devoco	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
Lis	lis	NN	number=SINGULAR|gender=FEMININE|case=NOMINATIVE	
ad	ad	PREP	_	
forum	forum	NN	number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
deducta	deduco	VB	number=SINGULAR|tense=PERF|mood=PARTICIPLE|voice=PASSIVE|gender=FEMININE|case=NOMINATIVE	
est	sum	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
vespa	vespa	NN	number=SINGULAR|gender=FEMININE|case=ABLATIVE	
iudice	judex	NN	number=SINGULAR|gender=FEMININE|case=ABLATIVE	
Repente	repens	ADV	number=SINGULAR|gender=MASCULINE|case=ABLATIVE	
liberalis	liberalis	ADJ	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
stultis	stultus	ADJ	number=PLURAL|gender=MASCULINE|case=DATIVE	
gratus	gratus	ADJ	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
est	sum	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
Verum	verus	ADV	_	
peritis	peritus	ADJ	number=PLURAL|gender=MASCULINE|case=DATIVE	
irritos	irritus	ADJ	number=PLURAL|gender=MASCULINE|case=ACCUSATIVE	
tendit	tendo	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
dolos	dolus	NN	number=PLURAL|gender=MASCULINE|case=ACCUSATIVE	
Ego	ego	PRON	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
vero	verus	ADV	_	
sum	sum	VB	person=PERSON_1|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
paratus	paro	VB	number=SINGULAR|tense=PERF|mood=PARTICIPLE|voice=PASSIVE|gender=MASCULINE|case=NOMINATIVE	
Haec	hic	PRON	number=SINGULAR|gender=FEMININE|case=NOMINATIVE	
significat	significo	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
fabula	fabula	NN	number=SINGULAR|gender=FEMININE|case=NOMINATIVE	
