quo	quo	ADV	_	
autem	autem	CONJ	_	
lecti	lego	VB	number=PLURAL|tense=PERF|mood=PARTICIPLE|voice=PASSIVE|gender=MASCULINE|case=NOMINATIVE	
probati	probo	VB	number=PLURAL|tense=PERF|mood=PARTICIPLE|voice=PASSIVE|gender=MASCULINE|case=NOMINATIVE	
-que	que	CONJ	_	
et	et	CONJ	_	
religiosius	religiosus	ADV	degree=COMPARATIVE	
et	et	CONJ	_	
minore	parvus	ADJ	number=SINGULAR|gender=FEMININE|case=ABLATIVE|degree=COMPARATIVE	
molestia	molestia	NN	number=SINGULAR|gender=FEMININE|case=ABLATIVE	
senatoria	senatorius	ADJ	number=PLURAL|gender=NEUTER|case=ACCUSATIVE	
munera	munus	NN	number=PLURAL|gender=NEUTER|case=ACCUSATIVE	
fungerentur	fungor	VB	person=PERSON_3|number=PLURAL|tense=IMP|mood=SUBJUNCTIVE|voice=DEPONENS	
sanxit	sancio	VB	person=PERSON_3|number=SINGULAR|tense=PERF|mood=INDICATIVE|voice=ACTIVE	
ut	ut	CONJ	_	
prius	prior	ADV	degree=COMPARATIVE	
quam	quam	ADV	_	
consideret	consido	VB	person=PERSON_3|number=SINGULAR|tense=IMP|mood=SUBJUNCTIVE|voice=ACTIVE	
quisque	quisque	PRON	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
ture	tus	NN	number=SINGULAR|gender=NEUTER|case=ABLATIVE	
ac	atque	CONJ	_	
mero	merus	ADJ	number=SINGULAR|gender=NEUTER|case=ABLATIVE	
supplicaret	supplico	VB	person=PERSON_3|number=SINGULAR|tense=IMP|mood=SUBJUNCTIVE|voice=ACTIVE	
apud	apud	PREP	_	
aram	ara	NN	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
eius	is	PRON	number=SINGULAR|gender=MASCULINE|case=GENITIVE	
dei	deus	NN	number=SINGULAR|gender=MASCULINE|case=GENITIVE	
in	in	PREP	_	
cuius	qui	PRON	number=SINGULAR|gender=MASCULINE|case=GENITIVE	
templo	templum	NN	number=SINGULAR|gender=NEUTER|case=ABLATIVE	
coiretur	coeo	VB	person=PERSON_3|number=SINGULAR|tense=IMP|mood=SUBJUNCTIVE|voice=PASSIVE	
et	et	CONJ	_	
ne	ne	CONJ	_	
plus	multus	ADV	degree=COMPARATIVE	
quam	quam	ADV	_	
bis	bis	ADV	_	
in	in	PREP	_	
mense	mensis	NN	number=SINGULAR|gender=MASCULINE|case=ABLATIVE	
legitimus	legitimus	ADJ	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
senatus	senatus	NN	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
ageretur	ago	VB	person=PERSON_3|number=SINGULAR|tense=IMP|mood=SUBJUNCTIVE|voice=PASSIVE	
Kalendis	Kalendae	NN	number=PLURAL|gender=FEMININE|case=ABLATIVE	
et	et	CONJ	_	
Idibus	Idus	NN	number=PLURAL|gender=FEMININE|case=ABLATIVE	
ne	ne	CONJ	_	
-ue	ve	CONJ	_	
Septembri	September	ADJ	number=SINGULAR|gender=MASCULINE|case=ABLATIVE	
Octobri	October	ADJ	number=SINGULAR|gender=MASCULINE|case=ABLATIVE	
-ue	ve	CONJ	_	
mense	mensis	NN	number=SINGULAR|gender=MASCULINE|case=ABLATIVE	
ullos	ullus	ADJ	number=PLURAL|gender=MASCULINE|case=ACCUSATIVE	
adesse	adsum	VB	tense=PR|mood=INFINITIVE|voice=ACTIVE	
alios	alius	ADJ	number=PLURAL|gender=MASCULINE|case=ACCUSATIVE	
necesse	necesse	ADJ	number=SINGULAR|gender=NEUTER|case=NOMINATIVE	
esset	sum	VB	person=PERSON_3|number=SINGULAR|tense=IMP|mood=SUBJUNCTIVE|voice=ACTIVE	
quam	quam	ADV	_	
sorte	sors	NN	number=SINGULAR|gender=FEMININE|case=ABLATIVE	
ductos	duco	VB	number=PLURAL|tense=PERF|mood=PARTICIPLE|voice=PASSIVE|gender=MASCULINE|case=ACCUSATIVE	
per	per	PREP	_	
quorum	qui	PRON	number=PLURAL|gender=MASCULINE|case=GENITIVE	
numerum	numerus	NN	number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
decreta	decretum	NN	number=PLURAL|gender=NEUTER|case=NOMINATIVE	
confici	conficio	VB	tense=PR|mood=INFINITIVE|voice=PASSIVE	
possent	possum	VB	person=PERSON_3|number=PLURAL|tense=IMP|mood=SUBJUNCTIVE|voice=ACTIVE	
item	item	ADV	_	
nauale	navalis	ADJ	number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
proelium	proelium	NN	number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
circa	circa	PREP	_	
Tiberim	Tiberis	NN	number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
cauato	cavo	VB	number=SINGULAR|tense=PERF|mood=PARTICIPLE|voice=PASSIVE|gender=NEUTER|case=ABLATIVE	
solo	solum	NN	number=SINGULAR|gender=NEUTER|case=ABLATIVE	
in	in	PREP	_	
quo	qui	PRON	number=SINGULAR|gender=NEUTER|case=ABLATIVE	
nunc	nunc	ADV	_	
Caesarum	Caesar	NN	number=PLURAL|gender=MASCULINE|case=GENITIVE	
nemus	nemus	NN	number=SINGULAR|gender=NEUTER|case=NOMINATIVE	
est	sum	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
edidit	edo	VB	person=PERSON_3|number=SINGULAR|tense=PERF|mood=INDICATIVE|voice=ACTIVE	
quare	quare	ADV	_	
ceteri	ceterus	ADJ	number=PLURAL|gender=MASCULINE|case=NOMINATIVE	
in	in	PREP	_	
his	hic	PRON	number=PLURAL|gender=MASCULINE|case=ABLATIVE	
M.	Marcus	NN	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
Fauonius	Favonius	NN	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
ille	ille	PRON	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
Catonis	Cato	NN	number=SINGULAR|gender=MASCULINE|case=GENITIVE	
aemulus	aemulus	ADJ	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
cum	cum	CONJ	_	
catenati	cateno	VB	number=PLURAL|tense=PERF|mood=PARTICIPLE|voice=PASSIVE|gender=MASCULINE|case=NOMINATIVE	
producerentur	produco	VB	person=PERSON_3|number=PLURAL|tense=IMP|mood=SUBJUNCTIVE|voice=PASSIVE	
imperatore	imperator	NN	number=SINGULAR|gender=MASCULINE|case=ABLATIVE	
Antonio	Antonius	NN	number=SINGULAR|gender=MASCULINE|case=ABLATIVE	
honorifice	honorificus	ADV	_	
salutato	saluto	VB	number=SINGULAR|tense=PERF|mood=PARTICIPLE|voice=PASSIVE|gender=MASCULINE|case=ABLATIVE	
