et	et	CONJ	_	
ascendit	ascendo	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
fumus	fumus	NN	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
incensorum	incensum	NN	number=PLURAL|gender=NEUTER|case=GENITIVE	
de	de	PREP	_	
orationibus	oratio	NN	number=PLURAL|gender=FEMININE|case=ABLATIVE	
sanctorum	sancio	NN	number=PLURAL|gender=MASCULINE|case=GENITIVE	
de	de	PREP	_	
manu	manus	NN	number=SINGULAR|gender=FEMININE|case=ABLATIVE	
angeli	angelus	NN	number=SINGULAR|gender=MASCULINE|case=GENITIVE	
coram	coram	PREP	_	
Deo	deus	NN	number=SINGULAR|gender=MASCULINE|case=ABLATIVE	
septem	septem	NRL	_	
stellae	stella	NN	number=PLURAL|gender=FEMININE|case=NOMINATIVE	
angeli	angelus	NN	number=PLURAL|gender=MASCULINE|case=NOMINATIVE	
sunt	sum	VB	person=PERSON_3|number=PLURAL|tense=PR|mood=INDICATIVE|voice=ACTIVE	
septem	septem	NRL	_	
ecclesiarum	ecclesia	NN	number=PLURAL|gender=FEMININE|case=GENITIVE	
Apocalypsis	apocalypsis	NN	number=SINGULAR|gender=FEMININE|case=NOMINATIVE	
Iesu	Iesus	NN	number=SINGULAR|gender=MASCULINE|case=GENITIVE	
Christi	Christus	NN	number=SINGULAR|gender=MASCULINE|case=GENITIVE	
quam	qui	PRON	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
dedit	dedo	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
illi	ille	PRON	number=SINGULAR|gender=MASCULINE|case=DATIVE	
Deus	deus	NN	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
palam	palam	ADV	_	
facere	facio	VB	tense=PR|mood=INFINITIVE|voice=ACTIVE	
servis	servus	NN	number=PLURAL|gender=MASCULINE|case=DATIVE	
suis	suus	ADJ	number=PLURAL|gender=MASCULINE|case=DATIVE	
quae	qui	PRON	number=PLURAL|gender=NEUTER|case=ACCUSATIVE	
oportet	oportet	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
fieri	fio	VB	tense=PR|mood=INFINITIVE|voice=PASSIVE	
cito	cito	ADV	_	
et	et	CONJ	_	
significavit	significo	VB	person=PERSON_3|number=SINGULAR|tense=PERF|mood=INDICATIVE|voice=ACTIVE	
mittens	mitto	VB	number=SINGULAR|tense=PR|mood=PARTICIPLE|voice=ACTIVE|gender=MASCULINE|case=NOMINATIVE	
per	per	PREP	_	
angelum	angelus	NN	number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
suum	suus	ADJ	number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
servo	servus	NN	number=SINGULAR|gender=MASCULINE|case=DATIVE	
suo	suus	ADJ	number=SINGULAR|gender=MASCULINE|case=DATIVE	
Iohanni	Iohannes	NN	number=SINGULAR|gender=MASCULINE|case=DATIVE	
scio	scio	VB	person=PERSON_1|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
opera	opus	NN	number=PLURAL|gender=NEUTER|case=ACCUSATIVE	
tua	tuus	ADJ	number=PLURAL|gender=NEUTER|case=ACCUSATIVE	
ecce	ecce	ADV	_	
dedi	do	VB	person=PERSON_1|number=SINGULAR|tense=PERF|mood=INDICATIVE|voice=ACTIVE	
coram	coram	PREP	_	
te	tu	PRON	number=SINGULAR|gender=MASCULINE|case=ABLATIVE	
ostium	ostium	NN	number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
apertum	apertus	ADJ	number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
quod	qui	PRON	number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
nemo	nemo	NN	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
potest	possum	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
cludere	claudo	VB	tense=PR|mood=INFINITIVE|voice=ACTIVE	
quia	quia	CONJ	_	
modicam	modicus	ADJ	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
habes	habeo	VB	person=PERSON_2|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
virtutem	virtus	NN	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
et	et	CONJ	_	
servasti	servo	VB	person=PERSON_2|number=SINGULAR|tense=PERF|mood=INDICATIVE|voice=ACTIVE	
verbum	verbum	NN	number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
meum	meus	ADJ	number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
et	et	CONJ	_	
non	non	ADV	_	
negasti	nego	VB	person=PERSON_2|number=SINGULAR|tense=PERF|mood=INDICATIVE|voice=ACTIVE	
nomen	nomen	NN	number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
meum	meus	ADJ	number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
et	et	CONJ	_	
cum	cum	CONJ	_	
aperuisset	aperio	VB	person=PERSON_3|number=SINGULAR|tense=PLUSQUAMPERFECT|mood=SUBJUNCTIVE|voice=ACTIVE	
sigillum	sigillum	NN	number=SINGULAR|gender=NEUTER|case=NOMINATIVE	
septimum	septimus	ADJ	number=SINGULAR|gender=NEUTER|case=NOMINATIVE	
factum	facio	VB	number=SINGULAR|tense=PERF|mood=PARTICIPLE|voice=PASSIVE|gender=NEUTER|case=NOMINATIVE	
est	sum	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
silentium	silentium	NN	number=SINGULAR|gender=NEUTER|case=NOMINATIVE	
in	in	PREP	_	
caelo	caelum	NN	number=SINGULAR|gender=NEUTER|case=ABLATIVE	
quasi	quasi	ADV	_	
media	medius	ADJ	number=SINGULAR|gender=FEMININE|case=ABLATIVE	
hora	hora	NN	number=SINGULAR|gender=FEMININE|case=ABLATIVE	
quoniam	quoniam	ADV	_	
agnus	agnus	NN	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
qui	qui	PRON	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
in	in	PREP	_	
medio	medium	NN	number=SINGULAR|gender=NEUTER|case=ABLATIVE	
throni	thronus	NN	number=SINGULAR|gender=MASCULINE|case=GENITIVE	
est	sum	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
reget	rego	VB	person=PERSON_3|number=SINGULAR|tense=FUTURE|mood=INDICATIVE|voice=ACTIVE	
illos	ille	PRON	number=PLURAL|gender=MASCULINE|case=ACCUSATIVE	
et	et	CONJ	_	
deducet	deduco	VB	person=PERSON_3|number=SINGULAR|tense=FUTURE|mood=INDICATIVE|voice=ACTIVE	
eos	is	PRON	number=PLURAL|gender=MASCULINE|case=ACCUSATIVE	
ad	ad	PREP	_	
vitae	vita	NN	number=SINGULAR|gender=FEMININE|case=GENITIVE	
