τοῦ			number=SINGULAR|gender=MASCULINE|case=GENITIVE	
δ̓		ADV	_	
ἐνιαυσίου		ADJ	number=SINGULAR|gender=MASCULINE|case=GENITIVE	
χρόνου		NN	number=SINGULAR|gender=MASCULINE|case=GENITIVE	
διεληλυθότος		VB	number=SINGULAR|tense=PERF|mood=PARTICIPLE|voice=ACTIVE|gender=MASCULINE|case=GENITIVE	
Ἀθήνησι		ADV	_	
μὲν		ADV	_	
ἦρχε		VB	person=PERSON_3|number=SINGULAR|tense=IMP|mood=INDICATIVE|voice=ACTIVE	
Μνησιθείδης		NN	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
ἐν		PREP	_	
Ῥώμῃ		NN	number=SINGULAR|gender=FEMININE|case=DATIVE	
δ̓		CONJ	_	
ὕπατοι		ADJ	number=PLURAL|gender=MASCULINE|case=NOMINATIVE	
κατεστάθησαν		VB	person=PERSON_3|number=PLURAL|mood=INDICATIVE|voice=PASSIVE	
Λούκιος		NN	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
Λουκράτιος		NN	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
καὶ		CONJ	_	
Τίτος		NN	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
Οὐετούριος		NN	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
Κιχωρῖνος		NN	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
οὕτω		ADV	_	
γὰρ		ADV	_	
μάλιστα		ADV	_	
συμβήσεται		VB	person=PERSON_3|number=SINGULAR|tense=FUTURE|mood=INDICATIVE	
πολλοὺς		ADJ	number=PLURAL|gender=MASCULINE|case=ACCUSATIVE	
ἐπὶ		PREP	_	
τὴν			number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
κοινὴν		ADJ	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
εὐεργεσίαν		NN	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
προτρέπεσθαι		VB	tense=PR|mood=INFINITIVE	
τῶν			number=PLURAL|gender=MASCULINE|case=GENITIVE	
μεταγενεστέρων		ADJ	number=PLURAL|gender=MASCULINE|case=GENITIVE|degree=COMPARATIVE	
καὶ		ADV	_	
τὸ			number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
μὲν		ADV	_	
πρῶτον		ADJ	number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
τὴν			number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
πολιορκίαν		NN	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
τοῦ			number=SINGULAR|gender=NEUTER|case=GENITIVE	
Λευκοῦ		NN	number=SINGULAR|gender=NEUTER|case=GENITIVE	
τείχους		NN	number=SINGULAR|gender=NEUTER|case=GENITIVE	
ἔλυσαν		VB	person=PERSON_3|number=PLURAL|mood=INDICATIVE|voice=ACTIVE	
καταπληξάμενοι		VB	number=PLURAL|mood=PARTICIPLE|gender=MASCULINE|case=NOMINATIVE	
τοὺς			number=PLURAL|gender=MASCULINE|case=ACCUSATIVE	
Αἰγυπτίους		NN	number=PLURAL|gender=MASCULINE|case=ACCUSATIVE	
καὶ		CONJ	_	
τοὺς			number=PLURAL|gender=MASCULINE|case=ACCUSATIVE	
Ἀθηναίους		NN	number=PLURAL|gender=MASCULINE|case=ACCUSATIVE	
τοῦ			number=SINGULAR|gender=MASCULINE|case=GENITIVE	
δὲ		ADV	_	
χρόνου		NN	number=SINGULAR|gender=MASCULINE|case=GENITIVE	
διεξελθόντος		VB	number=SINGULAR|mood=PARTICIPLE|voice=ACTIVE|gender=MASCULINE|case=GENITIVE	
οἱ			number=PLURAL|gender=MASCULINE|case=NOMINATIVE	
μὲν		ADV	_	
Ἀθηναῖοι		NN	number=PLURAL|gender=MASCULINE|case=NOMINATIVE	
τὸ			number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
τεῖχος		NN	number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
ἔφθασαν		VB	person=PERSON_3|number=PLURAL|mood=INDICATIVE|voice=ACTIVE	
ἐφ̓		PREP	_	
ἱκανὸν		ADJ	number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
κατεσκευακότες		VB	number=PLURAL|tense=PERF|mood=PARTICIPLE|voice=ACTIVE|gender=MASCULINE|case=NOMINATIVE	
τοὺς			number=PLURAL|gender=MASCULINE|case=ACCUSATIVE	
δὲ		CONJ	_	
τῶν			number=PLURAL|gender=MASCULINE|case=GENITIVE	
Λακεδαιμονίων		NN	number=PLURAL|gender=MASCULINE|case=GENITIVE	
πρέσβεις		NN	number=PLURAL|gender=MASCULINE|case=ACCUSATIVE	
ἐλθόντας		VB	number=PLURAL|mood=PARTICIPLE|voice=ACTIVE|gender=MASCULINE|case=ACCUSATIVE	
εἰς		PREP	_	
τὰς			number=PLURAL|gender=FEMININE|case=ACCUSATIVE	
Ἀθήνας		NN	number=PLURAL|gender=FEMININE|case=ACCUSATIVE	
καὶ		CONJ	_	
μετ̓		PREP	_	
ἀνατάσεων		NN	number=PLURAL|gender=FEMININE|case=GENITIVE	
καὶ		CONJ	_	
ἀπειλῶν		NN	number=PLURAL|gender=FEMININE|case=GENITIVE	
ἐπιτιμῶντας		VB	number=PLURAL|tense=PR|mood=PARTICIPLE|voice=ACTIVE|gender=MASCULINE|case=ACCUSATIVE	
παρέδωκαν		VB	person=PERSON_3|number=PLURAL|mood=INDICATIVE|voice=ACTIVE	
εἰς		PREP	_	
φυλακήν		NN	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
φήσαντες		VB	number=PLURAL|mood=PARTICIPLE|voice=ACTIVE|gender=MASCULINE|case=NOMINATIVE	
τότε		ADV	_	
ἀφήσειν		VB	tense=FUTURE|mood=INFINITIVE|voice=ACTIVE	
ὅταν		CONJ	_	
κ-		ADV	_	
ἀκεῖνοι		PRON	number=PLURAL|gender=MASCULINE|case=NOMINATIVE	
τοὺς			number=PLURAL|gender=MASCULINE|case=ACCUSATIVE	
περὶ		PREP	_	
Θεμιστοκλέα		NN	number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
πρέσβεις		NN	number=PLURAL|gender=MASCULINE|case=ACCUSATIVE	
ἀπολύσωσι		VB	person=PERSON_3|number=PLURAL|mood=SUBJUNCTIVE|voice=ACTIVE	
ἀριστεῦσαι		VB	mood=INFINITIVE|voice=ACTIVE	
δὲ		ADV	_	
ἐν		PREP	_	
ἀμφοτέραις		ADJ	number=PLURAL|gender=FEMININE|case=DATIVE	
ταῖς			number=PLURAL|gender=FEMININE|case=DATIVE	
ναυμαχίαις		NN	number=PLURAL|gender=FEMININE|case=DATIVE	
φασὶ		VB	person=PERSON_3|number=PLURAL|tense=PR|mood=INDICATIVE|voice=ACTIVE	
παρὰ		PREP	_	
μὲν		ADV	_	
τοῖς			number=PLURAL|gender=MASCULINE|case=DATIVE	
Ἕλλησιν		NN	number=PLURAL|gender=MASCULINE|case=DATIVE	
Ἀθηναίους		NN	number=PLURAL|gender=MASCULINE|case=ACCUSATIVE	
παρὰ		PREP	_	
δὲ		CONJ	_	
τοῖς			number=PLURAL|gender=MASCULINE|case=DATIVE	
βαρβάροις		NN	number=PLURAL|gender=MASCULINE|case=DATIVE	
Σιδωνίους		NN	number=PLURAL|gender=MASCULINE|case=ACCUSATIVE	
ἀριστεῦσαι		VB	mood=INFINITIVE|voice=ACTIVE	
ὑπελάμβανον		VB	person=PERSON_3|number=PLURAL|tense=IMP|mood=INDICATIVE|voice=ACTIVE	
δὲ		ADV	_	
ὅτι		CONJ	_	
κοινῇ		ADV	_	
κατοικισθέντες		VB	number=PLURAL|mood=PARTICIPLE|voice=PASSIVE|gender=MASCULINE|case=NOMINATIVE	
ὑπὸ		PREP	_	
τῶν			number=PLURAL|gender=MASCULINE|case=GENITIVE	
Ἑλλήνων		NN	number=PLURAL|gender=MASCULINE|case=GENITIVE	
οἱ			number=PLURAL|gender=MASCULINE|case=NOMINATIVE	
Ἴωνες		NN	number=PLURAL|gender=MASCULINE|case=NOMINATIVE	
οὐκέτι		ADV	_	
μητρόπολιν		NN	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
ἡγήσονται		VB	person=PERSON_3|number=PLURAL|tense=FUTURE|mood=INDICATIVE	
τὰς			number=PLURAL|gender=FEMININE|case=ACCUSATIVE	
Ἀθήνας		NN	number=SINGULAR|gender=FEMININE|case=GENITIVE	
Ξέρξης		NN	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
δὲ		ADV	_	
διὰ		PREP	_	
τῆς			number=SINGULAR|gender=FEMININE|case=GENITIVE	
Βοιωτίας		NN	number=SINGULAR|gender=FEMININE|case=GENITIVE	
διεξιὼν		VB	number=SINGULAR|tense=PR|mood=PARTICIPLE|voice=ACTIVE|gender=MASCULINE|case=NOMINATIVE	
τὴν			number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
μὲν		ADV	_	
τῶν			number=PLURAL|gender=MASCULINE|case=GENITIVE	
Θεσπιέων		NN	number=PLURAL|gender=MASCULINE|case=GENITIVE	
χώραν		NN	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
κατέφθειρε		VB	person=PERSON_3|number=SINGULAR|mood=INDICATIVE|voice=ACTIVE	
τὰς			number=PLURAL|gender=FEMININE|case=ACCUSATIVE	
δὲ		CONJ	_	
Πλαταιὰς		NN	number=PLURAL|gender=FEMININE|case=ACCUSATIVE	
ἐρήμους		ADJ	number=PLURAL|gender=FEMININE|case=ACCUSATIVE	
οὔσας		VB	number=PLURAL|tense=PR|mood=PARTICIPLE|voice=ACTIVE|gender=FEMININE|case=ACCUSATIVE	
ἐνέπρησεν		VB	person=PERSON_3|number=SINGULAR|mood=INDICATIVE|voice=ACTIVE	
διὰ		PREP	_	
γὰρ		ADV	_	
τούτων		PRON	number=PLURAL|gender=NEUTER|case=GENITIVE	
εἴσεσθαι		VB	tense=FUTURE|mood=INFINITIVE	
τ-			number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
ἀληθές		ADJ	number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
ἐπὶ		PREP	_	
δὲ		ADV	_	
τούτων		PRON	number=PLURAL|gender=NEUTER|case=GENITIVE	
ὁ			number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
μὲν		ADV	_	
τῶν			number=PLURAL|gender=MASCULINE|case=GENITIVE	
Περσῶν		NN	number=PLURAL|gender=MASCULINE|case=GENITIVE	
στόλος		NN	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
πλὴν		PREP	_	
Φοινίκων		NN	number=PLURAL|gender=MASCULINE|case=GENITIVE	
μετὰ		PREP	_	
τὴν			number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
ἐν		PREP	_	
Σαλαμῖνι		NN	number=SINGULAR|gender=FEMININE|case=DATIVE	
γενομένην		VB	number=SINGULAR|mood=PARTICIPLE|gender=FEMININE|case=ACCUSATIVE	
ναυμαχίαν		NN	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
ἡττημένος		VB	number=SINGULAR|tense=PERF|mood=PARTICIPLE|gender=MASCULINE|case=NOMINATIVE	
διέτριβε		VB	person=PERSON_3|number=SINGULAR|tense=IMP|mood=INDICATIVE|voice=ACTIVE	
περὶ		PREP	_	
τὴν			number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
Κύμην		NN	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
οἱ			number=PLURAL|gender=MASCULINE|case=NOMINATIVE	
δ̓		ADV	_	
Ἀκραγαντῖνοι		NN	number=PLURAL|gender=MASCULINE|case=NOMINATIVE	
κομισάμενοι		VB	number=PLURAL|mood=PARTICIPLE|gender=MASCULINE|case=NOMINATIVE	
τὴν			number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
δημοκρατίαν		NN	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
διαπρεσβευσάμενοι		VB	number=PLURAL|mood=PARTICIPLE|gender=MASCULINE|case=NOMINATIVE	
πρὸς		PREP	_	
Ἱέρωνα		NN	number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
τῆς			number=SINGULAR|gender=FEMININE|case=GENITIVE	
εἰρήνης		NN	number=SINGULAR|gender=FEMININE|case=GENITIVE	
ἔτυχον		VB	person=PERSON_3|number=PLURAL|mood=INDICATIVE|voice=ACTIVE	
γενομένης		VB	number=SINGULAR|mood=PARTICIPLE|gender=FEMININE|case=GENITIVE	
δὲ		ADV	_	
μάχης		NN	number=SINGULAR|gender=FEMININE|case=GENITIVE	
ἐν		PREP	_	
Οἰνοφύτοις		NN	number=PLURAL|gender=NEUTER|case=DATIVE	
τῆς			number=SINGULAR|gender=FEMININE|case=GENITIVE	
Βοιωτίας		NN	number=SINGULAR|gender=FEMININE|case=GENITIVE	
καὶ		CONJ	_	
τὸ			number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
δεινὸν		ADJ	number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
ἀμφοτέρων		ADJ	number=PLURAL|gender=MASCULINE|case=GENITIVE	
ταῖς			number=PLURAL|gender=FEMININE|case=DATIVE	
ψυχαῖς		NN	number=PLURAL|gender=FEMININE|case=DATIVE	
ἐρρωμένως		ADV	_	
ὑπομενόντων		VB	number=PLURAL|tense=PR|mood=PARTICIPLE|voice=ACTIVE|gender=MASCULINE|case=GENITIVE	
διημέρευσαν		VB	person=PERSON_3|number=PLURAL|mood=INDICATIVE|voice=ACTIVE	
ἐν		PREP	_	
τῇ			number=SINGULAR|gender=FEMININE|case=DATIVE	
μάχῃ		NN	number=SINGULAR|gender=FEMININE|case=DATIVE	
καὶ		ADV	_	
τὰ			number=PLURAL|gender=NEUTER|case=NOMINATIVE	
μὲν		ADV	_	
κατὰ		PREP	_	
τὴν			number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
Ἀσίαν		NN	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
καὶ		CONJ	_	
τὴν			number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
Αἴγυπτον		NN	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
ἐν		PREP	_	
τούτοις		PRON	number=PLURAL|gender=NEUTER|case=DATIVE	
ἦν		VB	person=PERSON_3|number=SINGULAR|tense=IMP|mood=INDICATIVE|voice=ACTIVE	
διόπερ		ADV	_	
οὐχ		ADV	_	
