1	Ἀντιφάνης	Ἀντιφάνης	NN	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
2	ὁ	ὁ		number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
3	κωμωδιοποιός	κωμωδιοποιός	NN	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
4	ἑταῖρε	ἑταῖρος	NN	number=SINGULAR|gender=MASCULINE|case=VOCATIVE	
5	Τιμόκρατες	Τιμοκράτης	NN	number=SINGULAR|gender=MASCULINE|case=VOCATIVE	
6	ὡς	ὡς	CONJ	_	
7	ἀνεγίνωσκέ	ἀναγιγνώσκω	VB	person=PERSON_3|number=SINGULAR|tense=IMP|mood=INDICATIVE|voice=ACTIVE	
8	τινα	τις	PRON	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
9	τῷ	ὁ		number=SINGULAR|gender=MASCULINE|case=DATIVE	
10	βασιλεῖ	βασιλεύς	NN	number=SINGULAR|gender=MASCULINE|case=DATIVE	
11	Ἀλεξάνδρῳ	̓Αλέξανδρος	NN	number=SINGULAR|gender=MASCULINE|case=DATIVE	
12	τῶν	ὁ		number=PLURAL|gender=FEMININE|case=GENITIVE	
13	ἑαυτοῦ	ἑαυτοῦ	PRON	number=SINGULAR|gender=MASCULINE|case=GENITIVE	
14	κωμῳδιῶν	κωμῳδία	NN	number=PLURAL|gender=FEMININE|case=GENITIVE	
15	ὁ	ὁ		number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
16	δ᾽	δέ	CONJ	_	
17	δῆλος	δῆλος	ADJ	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
18	ἦν	εἰμί	VB	person=PERSON_3|number=SINGULAR|tense=IMP|mood=INDICATIVE|voice=ACTIVE	
19	οὐ	οὐ	ADV	_	
20	πάνυ	πάνυ	ADV	_	
21	τι	τις	PRON	number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
22	ἀποδεχόμενος	ἀποδέχομαι	VB	number=SINGULAR|tense=PR|mood=PARTICIPLE|gender=MASCULINE|case=NOMINATIVE	
23	δεῖ	δέω2	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
24	γάρ	γάρ	ADV	_	
25	ἔφησεν	φημί	VB	person=PERSON_3|number=SINGULAR|mood=INDICATIVE|voice=ACTIVE	
26	ὦ	ὦ		_	
27	βασιλεῦ	βασιλεύς	NN	number=SINGULAR|gender=MASCULINE|case=VOCATIVE	
28	τὸν	ὁ		number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
29	ταῦτα	οὗτος	PRON	number=PLURAL|gender=NEUTER|case=ACCUSATIVE	
30	ἀποδεχόμενον	ἀποδέχομαι	VB	number=SINGULAR|tense=PR|mood=PARTICIPLE|gender=MASCULINE|case=ACCUSATIVE	
31	ἀπὸ	ἀπό	PREP	_	
