1	Ἡροδότου	Ἡρόδοτος	NN	number=SINGULAR|gender=MASCULINE|case=GENITIVE	
2	Ἁλικαρνησσέος	Ἁλικαρνησσεύς	NN	number=SINGULAR|gender=MASCULINE|case=GENITIVE	
3	ἱστορίης	ἱστορία	NN	number=SINGULAR|gender=FEMININE|case=GENITIVE	
4	ἀπόδεξις	ἀπόδειξις	NN	number=SINGULAR|gender=FEMININE|case=NOMINATIVE	
5	ἥδε	ὅδε	PRON	number=SINGULAR|gender=FEMININE|case=NOMINATIVE	
6	ὡς	ὡς	CONJ	_	
7	μήτε	μήτε	ADV	_	
8	τὰ	ὁ		number=PLURAL|gender=NEUTER|case=NOMINATIVE	
9	γενόμενα	γίγνομαι	VB	number=PLURAL|mood=PARTICIPLE|gender=NEUTER|case=NOMINATIVE	
10	ἐξ	ἐκ	PREP	_	
11	ἀνθρώπων	ἄνθρωπος	NN	number=PLURAL|gender=MASCULINE|case=GENITIVE	
12	τῷ	ὁ		number=SINGULAR|gender=MASCULINE|case=DATIVE	
13	χρόνῳ	χρόνος	NN	number=SINGULAR|gender=MASCULINE|case=DATIVE	
14	ἐξίτηλα	ἐξίτηλος	ADJ	number=PLURAL|gender=NEUTER|case=NOMINATIVE	
15	γένηται	γίγνομαι	VB	person=PERSON_3|number=SINGULAR|mood=SUBJUNCTIVE	
16	μήτε	μήτε	CONJ	_	
17	ἔργα	ἔργον	NN	number=PLURAL|gender=NEUTER|case=NOMINATIVE	
18	μεγάλα	μέγας	ADJ	gender=FEMININE|case=NOMINATIVE	
19	τε	τε	ADV	_	
20	καὶ	καί	CONJ	_	
21	θωμαστά	θαυμαστός	ADJ	number=PLURAL|gender=NEUTER|case=NOMINATIVE	
22	τὰ	ὁ		number=PLURAL|gender=NEUTER|case=NOMINATIVE	
23	μὲν	μέν	ADV	_	
24	Ἕλλησι	Ἕλλην	NN	number=PLURAL|gender=MASCULINE|case=DATIVE	
25	τὰ	ὁ		number=PLURAL|gender=NEUTER|case=NOMINATIVE	
26	δὲ	δέ	CONJ	_	
27	βαρβάροισι	βάρβαρος	ADJ	number=PLURAL|gender=MASCULINE|case=DATIVE	
28	ἀποδεχθέντα	ἀποδέχομαι	VB	number=PLURAL|mood=PARTICIPLE|voice=PASSIVE|gender=NEUTER|case=NOMINATIVE	
29	ἀκλεᾶ	ἀκλεής	ADJ	number=PLURAL|gender=NEUTER|case=NOMINATIVE	
30	γένηται	γίγνομαι	VB	person=PERSON_3|number=SINGULAR|mood=SUBJUNCTIVE	
31	τά	ὁ		number=PLURAL|gender=NEUTER|case=NOMINATIVE	
32	τε	τε	ADV	_	
33	ἄλλα	ἄλλος	PRON	number=PLURAL|gender=NEUTER|case=NOMINATIVE	
34	καὶ	καί	CONJ	_	
35	δι᾽	διά	PREP	_	
36	ἣν	ὅς	ADJ	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
37	αἰτίην	αἰτία	NN	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
38	ἐπολέμησαν	πολεμέω	VB	person=PERSON_3|number=PLURAL|mood=INDICATIVE|voice=ACTIVE	
39	ἀλλήλοισι	ἀλλήλων	PRON	number=PLURAL|gender=MASCULINE|case=DATIVE	
40	ἐστιν	εἰμί	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
41	ἀποδεχθέντα	ἀποδέχομαι	VB	number=PLURAL|mood=PARTICIPLE|voice=PASSIVE|gender=NEUTER|case=NOMINATIVE	
1	Περσέων	Πέρσης	NN	number=PLURAL|gender=MASCULINE|case=GENITIVE	
2	μέν	μέν	ADV	_	
3	νυν	νῦν	ADV	_	
4	οἱ	ὁ		number=PLURAL|gender=MASCULINE|case=NOMINATIVE	
5	λόγιοι	λόγιος	ADJ	number=PLURAL|gender=MASCULINE|case=NOMINATIVE	
