1	πολλήν	πολύς	ADJ	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
2	μοι	ἐγώ	PRON	person=PERSON_1|number=SINGULAR|gender=MASCULINE|case=DATIVE	
3	ἀπορίαν	ἀπορία	NN	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
4	παρέχει	παρέχω	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
5	ὁ	ὁ		number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
6	ἀγὼν	ἀγών	NN	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
7	οὑτοσί	οὗτος	ADJ	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
8	ὦ	ὦ		_	
9	ἄνδρες	ἀνήρ	NN	number=PLURAL|gender=MASCULINE|case=VOCATIVE	
10	δικασταί	δικαστής	NN	number=PLURAL|gender=MASCULINE|case=VOCATIVE	
11	ὅταν	ὅταν	CONJ	_	
12	ἐνθυμηθῶ	ἐνθυμέομαι	VB	person=PERSON_1|number=SINGULAR|mood=SUBJUNCTIVE	
13	ὅτι	ὅτι2	CONJ	_	
14	ἐὰν	ἐάν	CONJ	_	
15	ἐγὼ	ἐγώ	PRON	person=PERSON_1|number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
16	μὲν	μέν	ADV	_	
17	μὴ	μή	ADV	_	
18	νῦν	νῦν	ADV	_	
19	εὖ	εὖ	ADV	_	
20	εἴπω	εἶπον	VB	person=PERSON_1|number=SINGULAR|mood=SUBJUNCTIVE|voice=ACTIVE	
21	οὐ	οὐ	ADV	_	
22	μόνον	μόνος	ADJ	number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
23	ἐγὼ	ἐγώ	PRON	person=PERSON_1|number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
24	ἀλλὰ	ἀλλά	CONJ	_	
25	καὶ	καί	ADV	_	
26	ὁ	ὁ		number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
27	πατὴρ	πατήρ	NN	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
28	δόξει	δοκέω	VB	person=PERSON_3|number=SINGULAR|tense=FUTURE|mood=INDICATIVE|voice=ACTIVE	
29	ἄδικος	ἄδικος	ADJ	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
30	εἶναι	εἰμί	VB	tense=PR|mood=INFINITIVE|voice=ACTIVE	
31	καὶ	καί	CONJ	_	
32	τῶν	ὁ		number=PLURAL|gender=NEUTER|case=GENITIVE	
