1	τὸ	ὁ		number=SINGULAR|gender=NEUTER|case=NOMINATIVE	
2	Ἀλκιβιάδου	Ἀλκιβιάδης	NN	number=SINGULAR|gender=MASCULINE|case=GENITIVE	
3	γένος	γένος	NN	number=SINGULAR|gender=NEUTER|case=NOMINATIVE	
4	ἄνωθεν	ἄνωθεν	ADV	_	
5	Εὐρυσάκην	Εὐρυσάκης	NN	number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
6	τὸν	ὁ		number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
7	Αἴαντος	Αἴας	NN	number=SINGULAR|gender=MASCULINE|case=GENITIVE	
8	ἀρχηγὸν	ἀρχηγός	ADJ	number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
9	ἔχειν	ἔχω	VB	tense=PR|mood=INFINITIVE|voice=ACTIVE	
10	δοκεῖ	δοκέω	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
11	πρὸς	πρός	PREP	_	
12	δὲ	δέ	CONJ	_	
13	μητρὸς	μήτηρ	NN	number=SINGULAR|gender=FEMININE|case=GENITIVE	
14	Ἀλκμαιωνίδης	Ἀλκμαιωνίδης	NN	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
15	ἦν	εἰμί	VB	person=PERSON_3|number=SINGULAR|tense=IMP|mood=INDICATIVE|voice=ACTIVE	
16	ἐκ	ἐκ	PREP	_	
17	Δεινομάχης	Δεινομάχη	NN	number=SINGULAR|gender=FEMININE|case=GENITIVE	
18	γεγονὼς	γίγνομαι	VB	number=SINGULAR|tense=PERF|mood=PARTICIPLE|voice=ACTIVE|gender=MASCULINE|case=NOMINATIVE	
19	τῆς	ὁ		number=SINGULAR|gender=FEMININE|case=GENITIVE	
20	Μεγακλέους	Μεγακλῆς	NN	number=SINGULAR|gender=MASCULINE|case=GENITIVE	
1	ὁ	ὁ		number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
2	δὲ	δέ	ADV	_	
3	πατὴρ	πατήρ	NN	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
4	αὐτοῦ	αὐτός	PRON	number=SINGULAR|gender=MASCULINE|case=GENITIVE	
5	Κλεινίας	Κλεινίας	NN	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
6	ἰδιοστόλῳ	ἰδιόστολος	ADJ	number=SINGULAR|gender=FEMININE|case=DATIVE	
7	τριήρει	τριήρης	NN	number=SINGULAR|gender=FEMININE|case=DATIVE	
8	περὶ	περί	PREP	_	
9	Ἀρτεμίσιον	Ἀρτεμίσιον	NN	number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
10	ἐνδόξως	ἔνδοξος	ADV	degree=POSITIVE	
11	ἐναυμάχησεν	ναυμαχέω	VB	person=PERSON_3|number=SINGULAR|mood=INDICATIVE|voice=ACTIVE	
12	ὕστερον	ὕστερος	ADJ	number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
13	δὲ	δέ	CONJ	_	
14	Βοιωτοῖς	Βοιωτός	NN	number=PLURAL|gender=MASCULINE|case=DATIVE	
15	μαχόμενος	μάχομαι	VB	number=SINGULAR|tense=PR|mood=PARTICIPLE|gender=MASCULINE|case=NOMINATIVE	
16	περὶ	περί	PREP	_	
17	Κορώνειαν	Κορώνεια	NN	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
