1	περὶ	περί	PREP	_	
2	Λυκούργου	Λυκοῦργος	NN	number=SINGULAR|gender=MASCULINE|case=GENITIVE	
3	τοῦ	ὁ		number=SINGULAR|gender=MASCULINE|case=GENITIVE	
4	νομοθέτου	νομοθέτης	NN	number=SINGULAR|gender=MASCULINE|case=GENITIVE	
5	καθόλου	καθόλου	ADV	_	
6	μὲν	μέν	ADV	_	
7	οὐδὲν	οὐδείς	PRON	number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
8	ἔστιν	εἰμί	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
9	εἰπεῖν	εἶπον	VB	mood=INFINITIVE|voice=ACTIVE	
10	ἀναμφισβήτητον	ἀναμφισβήτητος	ADJ	number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
11	οὗ	ὅς	PRON	number=SINGULAR|gender=MASCULINE|case=GENITIVE	
12	γε	γε	ADV	_	
13	καὶ	καί	ADV	_	
14	γένος	γένος	NN	number=SINGULAR|gender=NEUTER|case=NOMINATIVE	
15	καὶ	καί	ADV	_	
16	ἀποδημία	ἀποδημία	NN	gender=FEMININE|case=NOMINATIVE	
17	καὶ	καί	ADV	_	
18	τελευτὴ	τελευτή	NN	number=SINGULAR|gender=FEMININE|case=NOMINATIVE	
19	καὶ	καί	CONJ	_	
20	πρὸς	πρός	PREP	_	
21	ἅπασιν	ἅπας	ADJ	number=PLURAL|gender=MASCULINE|case=DATIVE	
22	ἡ	ὁ		number=SINGULAR|gender=FEMININE|case=NOMINATIVE	
23	περὶ	περί	PREP	_	
24	τοὺς	ὁ		number=PLURAL|gender=MASCULINE|case=ACCUSATIVE	
25	νόμους	νόμος	NN	number=PLURAL|gender=MASCULINE|case=ACCUSATIVE	
26	αὐτοῦ	αὐτός	PRON	number=SINGULAR|gender=MASCULINE|case=GENITIVE	
27	καὶ	καί	CONJ	_	
28	τὴν	ὁ		number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
29	πολιτείαν	πολιτεία	NN	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
30	πραγματεία	πραγματεία	NN	number=SINGULAR|gender=FEMININE|case=NOMINATIVE	
31	διαφόρους	διάφορος	ADJ	number=PLURAL|gender=FEMININE|case=ACCUSATIVE	
32	ἔσχηκεν	ἔχω	VB	person=PERSON_3|number=PLURAL|tense=PLUSQUAMPERFECT|mood=INDICATIVE|voice=ACTIVE	
33	ἱστορίας	ἱστορία	NN	number=PLURAL|gender=FEMININE|case=ACCUSATIVE	
34	ἥκιστα	ἥκιστος	ADJ	number=PLURAL|gender=NEUTER|case=ACCUSATIVE	
35	δὲ	δέ	CONJ	_	
36	οἱ	ὁ		number=PLURAL|gender=MASCULINE|case=NOMINATIVE	
37	χρόνοι	χρόνος	NN	number=PLURAL|gender=MASCULINE|case=NOMINATIVE	
38	καθ᾽	κατά	PREP	_	
39	οὓς	ὅς	PRON	number=PLURAL|gender=MASCULINE|case=ACCUSATIVE	
40	γέγονεν	γίγνομαι	VB	person=PERSON_3|number=SINGULAR|tense=PERF|mood=INDICATIVE|voice=ACTIVE	
41	ὁ	ὁ		number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
42	ἀνὴρ	ἀνήρ	NN	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
43	ὁμολογοῦνται	ὁμολογέω	VB	person=PERSON_3|number=PLURAL|tense=PR|mood=INDICATIVE	
1	οἱ	ὁ		number=PLURAL|gender=MASCULINE|case=NOMINATIVE	
2	μὲν	μέν	ADV	_	
3	γάρ	γάρ	ADV	_	
4	Ἰφίτῳ	Ἴφιτος	NN	number=SINGULAR|gender=MASCULINE|case=DATIVE	
5	συνακμάσαι	συνακμάζω	VB	mood=INFINITIVE|voice=ACTIVE	
6	καὶ	καί	CONJ	_	
7	συνδιαθεῖναι	σύν-διατίθημι	VB	mood=INFINITIVE|voice=ACTIVE	
8	τὴν	ὁ		number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
9	Ὀλυμπιακὴν	Ὀλυμπιακός	ADJ	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
10	ἐκεχειρίαν	ἐκεχειρία	NN	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
11	λέγουσιν	λέγω3	VB	person=PERSON_3|number=PLURAL|tense=PR|mood=INDICATIVE|voice=ACTIVE	
12	αὐτόν	αὐτός	PRON	number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
13	ὧν	ὅς	PRON	number=PLURAL|gender=MASCULINE|case=GENITIVE	
14	ἐστι	εἰμί	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
15	καὶ	καί	ADV	_	
16	Ἀριστοτέλης	Ἀριστοτέλης	NN	number=PLURAL|gender=MASCULINE|case=ACCUSATIVE	
17	ὁ	ὁ		number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
18	φιλόσοφος	φιλόσοφος	NN	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
19	τεκμήριον	τεκμήριον	NN	number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
20	προσφέρων	προσφέρω	VB	number=SINGULAR|tense=PR|mood=PARTICIPLE|voice=ACTIVE|gender=MASCULINE|case=NOMINATIVE	
21	τὸν	ὁ		number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
22	Ὀλυμπίασι	Ὀλυμπία	ADV	_	
23	δίσκον	δίσκος	NN	number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
24	ἐν	εἰς	PREP	_	
25	ᾧ	ὅς	PRON	number=SINGULAR|gender=MASCULINE|case=DATIVE	
26	τοὔνομα	ὄνομα	NN	number=SINGULAR|gender=NEUTER|case=NOMINATIVE	
27	τοῦ	ὁ		number=SINGULAR|gender=MASCULINE|case=GENITIVE	
28	Λυκούργου	Λυκοῦργος	NN	number=SINGULAR|gender=MASCULINE|case=GENITIVE	
29	διασώζεται	διασῴζω	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=INDICATIVE	
30	καταγεγραμμένον	καταγράφω	VB	number=SINGULAR|tense=PERF|mood=PARTICIPLE|gender=NEUTER|case=NOMINATIVE	
1	οἱ	ὀ		number=PLURAL|gender=MASCULINE|case=NOMINATIVE	
2	δὲ	δέ	ADV	_	
3	ταῖς	ὁ		number=PLURAL|gender=FEMININE|case=DATIVE	
4	διαδοχαῖς	διαδοχή	NN	number=PLURAL|gender=FEMININE|case=DATIVE	
5	τῶν	ὁ		number=PLURAL|gender=MASCULINE|case=GENITIVE	
6	ἐν	ἐν	PREP	_	
7	Σπάρτῃ	σπάρτη	NN	number=SINGULAR|gender=FEMININE|case=DATIVE	
8	βεβασιλευκότων	βασιλεύω	VB	number=PLURAL|tense=PERF|mood=PARTICIPLE|voice=ACTIVE|gender=MASCULINE|case=GENITIVE	
9	ἀναλεγόμενοι	ἀναλέγω	VB	number=PLURAL|tense=PR|mood=PARTICIPLE|gender=MASCULINE|case=NOMINATIVE	
