1	ἐν	ἐν	PREP	_	
2	μὲν	μέν	ADV	_	
3	τῇ	ὁ		number=SINGULAR|gender=FEMININE|case=DATIVE	
4	πρὸ	πρό	PREP	_	
5	ταύτης	οὗτος	PRON	number=SINGULAR|gender=FEMININE|case=GENITIVE	
6	βύβλῳ	βύβλος	NN	number=SINGULAR|gender=FEMININE|case=DATIVE	
7	διεσαφήσαμεν	διασαφέω	VB	person=PERSON_1|number=PLURAL|mood=INDICATIVE|voice=ACTIVE	
8	πότε	ποτέ	ADV	_	
9	Ῥωμαῖοι	Ῥωμαῖος	NN	number=PLURAL|gender=MASCULINE|case=NOMINATIVE	
10	συστησάμενοι	συνίστημι	VB	number=PLURAL|mood=PARTICIPLE|gender=MASCULINE|case=NOMINATIVE	
11	τὰ	ὁ		number=PLURAL|gender=NEUTER|case=ACCUSATIVE	
12	κατὰ	κατά	PREP	_	
13	τὴν	ὁ		number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
14	Ἰταλίαν	Ἰταλία	NN	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
15	τοῖς	ὁ		number=PLURAL|gender=NEUTER|case=DATIVE	
16	ἐκτὸς	ἐκτός	ADV	_	
17	ἐγχειρεῖν	ἐγχειρέω	VB	tense=PR|mood=INFINITIVE|voice=ACTIVE	
18	ἤρξαντο	ἄρχω	VB	person=PERSON_3|number=PLURAL|mood=INDICATIVE	
19	πράγμασιν	πρᾶγμα	NN	number=PLURAL|gender=NEUTER|case=DATIVE	
20	ἐπὶ	ἐπί	PREP	_	
21	δὲ	δέ	ADV	_	
22	τούτοις	οὗτος	PRON	number=PLURAL|gender=NEUTER|case=DATIVE	
23	πῶς	πως	ADV	_	
24	εἰς	εἰς	PREP	_	
25	Σικελίαν	Σικελία	NN	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
26	διέβησαν	διαβαίνω	VB	person=PERSON_3|number=PLURAL|mood=INDICATIVE|voice=ACTIVE	
27	καὶ	καί	CONJ	_	
28	διʼ	διά	PREP	_	
29	ἃς	ὅς	ADJ	number=PLURAL|gender=FEMININE|case=ACCUSATIVE	
30	αἰτίας	αἰτία	NN	number=PLURAL|gender=FEMININE|case=ACCUSATIVE	
31	τὸν	ὁ		number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
32	περὶ	περί	PREP	_	
33	τῆς	ὁ		number=SINGULAR|gender=FEMININE|case=GENITIVE	
34	προειρημένης	προερέω	VB	number=SINGULAR|tense=PERF|mood=PARTICIPLE|gender=FEMININE|case=GENITIVE	
35	νήσου	νῆσος	NN	number=SINGULAR|gender=FEMININE|case=GENITIVE	
36	συνεστήσαντο	συνίστημι	VB	person=PERSON_3|number=PLURAL|mood=INDICATIVE	
37	πόλεμον	πόλεμος	NN	number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
38	πρὸς	πρός	PREP	_	
39	Καρχηδονίους	Καρχηδόνιος	NN	number=PLURAL|gender=MASCULINE|case=ACCUSATIVE	
40	μετὰ	μετά	PREP	_	
41	δὲ	δέ	CONJ	_	
42	ταῦτα	οὗτος	PRON	number=PLURAL|gender=NEUTER|case=ACCUSATIVE	
43	πότε	ποτέ	ADV	_	
44	πρῶτον	πρῶτος	ADJ	number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
45	συνίστασθαι	συνίστημι	VB	tense=PR|mood=INFINITIVE	
46	ναυτικὰς	ναυτικός	ADJ	number=PLURAL|gender=FEMININE|case=ACCUSATIVE	
47	ἤρξαντο	ἄρχω	VB	person=PERSON_3|number=PLURAL|mood=INDICATIVE	
48	δυνάμεις	δύναμις	NN	number=PLURAL|gender=FEMININE|case=ACCUSATIVE	
49	καὶ	καί	CONJ	_	
50	τὰ	ὁ		number=PLURAL|gender=NEUTER|case=ACCUSATIVE	
51	συμβάντα	συμβαίνω	VB	number=PLURAL|mood=PARTICIPLE|voice=ACTIVE|gender=NEUTER|case=ACCUSATIVE	
52	κατὰ	κατά	PREP	_	
53	τὸν	ὁ		number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
54	πόλεμον	πόλεμος	NN	number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
