1	Θουκυδίδης	Θουκυδίδης	NN	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
2	Ἀθηναῖος	Ἀθηναῖος	NN	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
3	ξυνέγραψε	συγγράφω	VB	person=PERSON_3|number=SINGULAR|mood=INDICATIVE|voice=ACTIVE	
4	τὸν	ὁ		number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
5	πόλεμον	πόλεμος	NN	number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
6	τῶν	ὁ		number=PLURAL|gender=MASCULINE|case=GENITIVE	
7	Πελοποννησίων	Πελοποννήσιοι	NN	number=PLURAL|gender=MASCULINE|case=GENITIVE	
8	καὶ	καί	CONJ	_	
9	Ἀθηναίων	Ἀθήναιος	NN	number=PLURAL|gender=MASCULINE|case=GENITIVE	
10	ὡς	ὡς	CONJ	_	
11	ἐπολέμησαν	πολεμέω	VB	person=PERSON_3|number=PLURAL|mood=INDICATIVE|voice=ACTIVE	
12	πρὸς	πρός	PREP	_	
13	ἀλλήλους	ἀλλήλων	PRON	number=PLURAL|gender=MASCULINE|case=ACCUSATIVE	
14	ἀρξάμενος	ἄρχω	VB	number=SINGULAR|mood=PARTICIPLE|gender=MASCULINE|case=NOMINATIVE	
15	εὐθὺς	εὐθύς2	ADV	_	
16	καθισταμένου	καθιστάω	VB	number=SINGULAR|tense=PR|mood=PARTICIPLE|gender=NEUTER|case=GENITIVE	
17	καὶ	καί	CONJ	_	
18	ἐλπίσας	ἐλπίζω	VB	number=SINGULAR|mood=PARTICIPLE|voice=ACTIVE|gender=MASCULINE|case=NOMINATIVE	
19	μέγαν	μέγας	ADJ	number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
20	τε	τε	ADV	_	
21	ἔσεσθαι	εἰμί	VB	tense=FUTURE|mood=INFINITIVE	
22	καὶ	καί	CONJ	_	
23	ἀξιολογώτατον	ἀξιόλογος	ADJ	number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE|degree=SUPERLATIVE	
24	τῶν	ὁ		number=PLURAL|gender=MASCULINE|case=GENITIVE	
25	προγεγενημένων	προγίγνομαι	VB	number=PLURAL|tense=PERF|mood=PARTICIPLE|gender=MASCULINE|case=GENITIVE	
26	τεκμαιρόμενος	τεκμαίρομαι	VB	number=SINGULAR|tense=PR|mood=PARTICIPLE|gender=MASCULINE|case=NOMINATIVE	
27	ὅτι	ὅτι2	CONJ	_	
28	ἀκμάζοντές	ἀκμάζω	VB	number=PLURAL|tense=PR|mood=PARTICIPLE|voice=ACTIVE|gender=MASCULINE|case=NOMINATIVE	
29	τε	τε	ADV	_	
30	ᾖσαν	εἶμι	VB	person=PERSON_3|number=PLURAL|tense=IMP|mood=INDICATIVE|voice=ACTIVE	
31	ἐς	εἰς	PREP	_	
32	αὐτὸν	αὐτός	ADJ	number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
33	ἀμφότεροι	ἀμφότερος	ADJ	number=PLURAL|gender=MASCULINE|case=NOMINATIVE	
34	παρασκευῇ	παρασκευή	NN	number=SINGULAR|gender=FEMININE|case=DATIVE	
35	τῇ	ὁ		number=SINGULAR|gender=FEMININE|case=DATIVE	
36	πάσῃ	πᾶς	ADJ	number=SINGULAR|gender=FEMININE|case=DATIVE	
37	καὶ	καί	CONJ	_	
38	τὸ	ὁ		number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
39	ἄλλο	ἄλλος	ADJ	number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
40	Ἑλληνικὸν	Ἑλληνικός	ADJ	number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
41	ὁρῶν	ὁράω	VB	number=SINGULAR|tense=PR|mood=PARTICIPLE|voice=ACTIVE|gender=MASCULINE|case=NOMINATIVE	
42	ξυνιστάμενον	συνιστάω	VB	number=SINGULAR|tense=PR|mood=PARTICIPLE|gender=NEUTER|case=ACCUSATIVE	
43	πρὸς	πρός	PREP	_	
44	ἑκατέρους	ἑκάτερος	ADJ	number=PLURAL|gender=MASCULINE|case=ACCUSATIVE	
45	τὸ	ὁ		number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
46	μὲν	μέν	ADV	_	
47	εὐθύς	εὐθύς2	ADV	_	
48	τὸ	ὁ		number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
49	δὲ	δέ	CONJ	_	
50	καὶ	καί	ADV	_	
51	διανοούμενον	διανοέομαι	VB	number=SINGULAR|tense=PR|mood=PARTICIPLE|gender=NEUTER|case=ACCUSATIVE	
52	ξυνιστάμενον	συνίστημι	VB	number=SINGULAR|tense=PR|mood=PARTICIPLE|gender=MASCULINE|case=ACCUSATIVE	
1	κίνησις	κίνησις	NN	number=SINGULAR|gender=FEMININE|case=NOMINATIVE	
2	γὰρ	γάρ	ADV	_	
3	αὕτη	οὗτος	ADJ	number=SINGULAR|gender=FEMININE|case=NOMINATIVE	
4	μεγίστη	μέγας	ADJ	number=SINGULAR|gender=FEMININE|case=NOMINATIVE	
5	δὴ	δή	ADV	_	
6	τοῖς	ὁ		number=PLURAL|gender=MASCULINE|case=DATIVE	
7	Ἕλλησιν	Ἕλλην	NN	number=PLURAL|gender=MASCULINE|case=DATIVE	
8	ἐγένετο	γίγνομαι	VB	person=PERSON_3|number=SINGULAR|mood=INDICATIVE	
9	καὶ	καί	CONJ	_	
10	μέρει	μέρος	NN	number=SINGULAR|gender=NEUTER|case=DATIVE	
11	τινὶ	τις	ADJ	number=SINGULAR|gender=NEUTER|case=DATIVE	
12	τῶν	ὁ		number=PLURAL|gender=MASCULINE|case=GENITIVE	
13	βαρβάρων	βάρβαρος	NN	number=PLURAL|gender=MASCULINE|case=GENITIVE	
14	ὡς	ὡς	CONJ	_	
15	δὲ	δέ	ADV	_	
16	εἰπεῖν	εἶπον	VB	mood=INFINITIVE|voice=ACTIVE	
17	καὶ	καί	CONJ	_	
18	ἐπὶ	ἐπί	PREP	_	
19	πλεῖστον	πλεῖστος	ADJ	number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
20	ἀνθρώπων	ἄνθρωπος	NN	number=PLURAL|gender=MASCULINE|case=GENITIVE	
21	ἐγένετο	γίγνομαι	VB	person=PERSON_3|number=SINGULAR|mood=INDICATIVE	
22	μεγίστη	μέγας	ADJ	number=SINGULAR|gender=FEMININE|case=NOMINATIVE	
1	τὰ	ὁ		number=PLURAL|gender=NEUTER|case=ACCUSATIVE	
2	γὰρ	γάρ	ADV	_	
3	πρὸ	πρό	PREP	_	
4	αὐτῶν	αὐτός	PRON	number=PLURAL|gender=NEUTER|case=GENITIVE	
5	καὶ	καί	CONJ	_	
6	τὰ	ὁ		number=PLURAL|gender=NEUTER|case=ACCUSATIVE	
7	ἔτι	ἔτι	ADV	_	
8	παλαίτερα	παλαιός	ADJ	number=PLURAL|gender=NEUTER|case=ACCUSATIVE|degree=COMPARATIVE	
9	σαφῶς	σαφής	ADV	_	
10	μὲν	μέν	ADV	_	
11	εὑρεῖν	εὑρίσκω	VB	mood=INFINITIVE|voice=ACTIVE	
12	διὰ	διά	PREP	_	
13	χρόνου	χρόνος	NN	number=SINGULAR|gender=MASCULINE|case=GENITIVE	
14	πλῆθος	πλῆθος	NN	number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
15	ἀδύνατα	ἀδύνατος	ADJ	number=PLURAL|gender=NEUTER|case=NOMINATIVE	
16	ἦν	εἰμί	VB	person=PERSON_3|number=SINGULAR|tense=IMP|mood=INDICATIVE|voice=ACTIVE	
17	ἐκ	ἐκ	PREP	_	
18	δὲ	δέ	CONJ	_	
