1	ἔννοιά		NN	number=SINGULAR|gender=FEMININE|case=NOMINATIVE	
2	ποθʼ		ADV	_	
3	ἡμῖν		PRON	person=PERSON_1|number=PLURAL|gender=MASCULINE|case=DATIVE	
4	ἐγένετο		VB	person=PERSON_3|number=SINGULAR|mood=INDICATIVE	
5	ὅσαι		ADJ	number=PLURAL|gender=FEMININE|case=NOMINATIVE	
6	δημοκρατίαι		NN	number=PLURAL|gender=FEMININE|case=NOMINATIVE	
7	κατελύθησαν		VB	person=PERSON_3|number=PLURAL|mood=INDICATIVE|voice=PASSIVE	
8	ὑπὸ		PREP	_	
9	τῶν			number=PLURAL|gender=MASCULINE|case=GENITIVE	
10	ἄλλως		ADV	_	
11	πως		ADV	_	
12	βουλομένων		VB	number=PLURAL|tense=PR|mood=PARTICIPLE|gender=MASCULINE|case=GENITIVE	
13	πολιτεύεσθαι		VB	tense=PR|mood=INFINITIVE	
14	μᾶλλον		ADV	_	
15	ἢ		CONJ	_	
16	ἐν		PREP	_	
17	δημοκρατίᾳ		NN	number=SINGULAR|gender=FEMININE|case=DATIVE	
18	ὅσαι		ADJ	number=PLURAL|gender=FEMININE|case=NOMINATIVE	
19	τʼ		ADV	_	
20	αὖ		ADV	_	
21	μοναρχίαι		NN	number=PLURAL|gender=FEMININE|case=NOMINATIVE	
22	ὅσαι		ADJ	number=PLURAL|gender=FEMININE|case=NOMINATIVE	
23	τε		CONJ	_	
24	ὀλιγαρχίαι		NN	number=PLURAL|gender=FEMININE|case=NOMINATIVE	
25	ἀνῄρηνται		VB	person=PERSON_3|number=PLURAL|tense=PERF|mood=INDICATIVE	
26	ἤδη		ADV	_	
27	ὑπὸ		PREP	_	
28	δήμων		NN	number=PLURAL|gender=MASCULINE|case=GENITIVE	
29	καὶ		CONJ	_	
30	ὅσοι		ADJ	number=PLURAL|gender=MASCULINE|case=NOMINATIVE	
31	τυραννεῖν		VB	tense=PR|mood=INFINITIVE|voice=ACTIVE	
32	ἐπιχειρήσαντες		VB	number=PLURAL|mood=PARTICIPLE|voice=ACTIVE|gender=MASCULINE|case=NOMINATIVE	
33	οἱ			number=PLURAL|gender=MASCULINE|case=NOMINATIVE	
34	μὲν		ADV	_	
35	αὐτῶν		PRON	number=PLURAL|gender=MASCULINE|case=GENITIVE	
36	καὶ		ADV	_	
37	ταχὺ		ADJ	number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
38	πάμπαν		ADV	_	
39	κατελύθησαν		VB	person=PERSON_3|number=PLURAL|mood=INDICATIVE|voice=PASSIVE	
40	οἱ			number=PLURAL|gender=MASCULINE|case=NOMINATIVE	
41	δὲ		CONJ	_	
42	κ-		ADV	_	
43	ἂν		CONJ	_	
44	ὁποσονοῦν		ADJ	number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
45	χρόνον		NN	number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
46	ἄρχοντες		VB	number=PLURAL|tense=PR|mood=PARTICIPLE|voice=ACTIVE|gender=MASCULINE|case=NOMINATIVE	
47	διαγένωνται		VB	person=PERSON_3|number=PLURAL|mood=SUBJUNCTIVE	
48	θαυμάζονται		VB	person=PERSON_3|number=PLURAL|tense=PR|mood=INDICATIVE	
49	ὡς		ADV	_	
50	σοφοί		ADJ	number=PLURAL|gender=MASCULINE|case=NOMINATIVE	
51	τε		ADV	_	
52	καὶ		CONJ	_	
53	εὐτυχεῖς		ADJ	number=PLURAL|gender=MASCULINE|case=NOMINATIVE	
54	ἄνδρες		NN	number=PLURAL|gender=MASCULINE|case=NOMINATIVE	
55	γεγενημένοι		VB	number=PLURAL|tense=PERF|mood=PARTICIPLE|gender=MASCULINE|case=NOMINATIVE	
56	[0]		EXCL	_	
1	πολλοὺς		ADJ	number=PLURAL|gender=MASCULINE|case=ACCUSATIVE	
2	δʼ		ADV	_	
3	ἐδοκοῦμεν		VB	person=PERSON_1|number=PLURAL|tense=IMP|mood=INDICATIVE|voice=ACTIVE	
4	καταμεμαθηκέναι		VB	tense=PERF|mood=INFINITIVE|voice=ACTIVE	
5	καὶ		ADV	_	
6	ἐν		PREP	_	
7	ἰδίοις		ADJ	number=PLURAL|gender=MASCULINE|case=DATIVE	
8	οἴκοις		NN	number=PLURAL|gender=MASCULINE|case=DATIVE	
9	τοὺς			number=PLURAL|gender=MASCULINE|case=ACCUSATIVE	
10	μὲν		ADV	_	
11	ἔχοντας		VB	number=PLURAL|tense=PR|mood=PARTICIPLE|voice=ACTIVE|gender=MASCULINE|case=ACCUSATIVE	
12	καὶ		ADV	_	
13	πλείονας		ADJ	number=PLURAL|gender=MASCULINE|case=ACCUSATIVE|degree=COMPARATIVE	
14	οἰκέτας		NN	number=PLURAL|gender=MASCULINE|case=ACCUSATIVE	
15	τοὺς			number=PLURAL|gender=MASCULINE|case=ACCUSATIVE	
16	δὲ		CONJ	_	
17	καὶ		ADV	_	
18	πάνυ		ADV	_	
19	ὀλίγους		ADJ	number=PLURAL|gender=MASCULINE|case=ACCUSATIVE	
20	καὶ		CONJ	_	
21	ὅμως		ADV	_	
22	οὐ		ADV	_	
23	-δὲ		ADV	_	
24	τοῖς			number=PLURAL|gender=MASCULINE|case=DATIVE	
25	ὀλίγοις		ADJ	number=PLURAL|gender=MASCULINE|case=DATIVE	
26	τούτοις		PRON	number=PLURAL|gender=MASCULINE|case=DATIVE	
27	πάνυ		ADV	_	
28	τι		PRON	number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
29	δυναμένους		VB	number=PLURAL|tense=PR|mood=PARTICIPLE|gender=MASCULINE|case=ACCUSATIVE	
30	χρῆσθαι		VB	tense=PR|mood=INFINITIVE	
31	πειθομένοις		VB	number=PLURAL|tense=PR|mood=PARTICIPLE|gender=MASCULINE|case=DATIVE	
32	τοὺς			number=PLURAL|gender=MASCULINE|case=ACCUSATIVE	
33	δεσπότας		NN	number=PLURAL|gender=MASCULINE|case=ACCUSATIVE	
34	ἔχοντας		VB	number=PLURAL|tense=PR|mood=PARTICIPLE|voice=ACTIVE|gender=MASCULINE|case=ACCUSATIVE	
1	ἔτι		ADV	_	
