1	μετὰ		PREP	_	
2	δὲ		ADV	_	
3	ταῦτα		PRON	number=PLURAL|gender=NEUTER|case=ACCUSATIVE	
4	οὐ		ADV	_	
5	πολλαῖς		ADJ	number=PLURAL|gender=FEMININE|case=DATIVE	
6	ἡμέραις		NN	number=PLURAL|gender=FEMININE|case=DATIVE	
7	ὕστερον		NN	number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
8	ἦλθεν		VB	person=PERSON_3|number=SINGULAR|mood=INDICATIVE|voice=ACTIVE	
9	ἐξ		PREP	_	
10	Ἀθηνῶν		NN	number=PLURAL|gender=FEMININE|case=GENITIVE	
11	Θυμοχάρης		NN	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
12	ἔχων		VB	number=SINGULAR|tense=PR|mood=PARTICIPLE|voice=ACTIVE|gender=MASCULINE|case=NOMINATIVE	
13	ναῦς		NN	number=PLURAL|gender=FEMININE|case=ACCUSATIVE	
14	ὀλίγας		ADJ	number=PLURAL|gender=FEMININE|case=ACCUSATIVE	
1	καὶ		ADV	_	
2	εὐθὺς		ADV	_	
3	ἐναυμάχησαν		VB	person=PERSON_3|number=PLURAL|mood=INDICATIVE|voice=ACTIVE	
4	αὖθις		ADV	_	
5	Λακεδαιμόνιοι		NN	number=PLURAL|gender=MASCULINE|case=NOMINATIVE	
6	καὶ		CONJ	_	
7	Ἀθηναῖοι		NN	number=PLURAL|gender=MASCULINE|case=NOMINATIVE	
8	ἐνίκησαν		VB	person=PERSON_3|number=PLURAL|mood=INDICATIVE|voice=ACTIVE	
9	δὲ		CONJ	_	
10	Λακεδαιμόνιοι		NN	number=PLURAL|gender=MASCULINE|case=NOMINATIVE	
11	ἡγουμένου		VB	number=SINGULAR|tense=PR|mood=PARTICIPLE|gender=MASCULINE|case=GENITIVE	
12	Ἀγησανδρίδου		NN	number=SINGULAR|gender=MASCULINE|case=GENITIVE	
1	μετʼ		PREP	_	
2	ὀλίγον		ADJ	number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
3	δὲ		ADV	_	
4	τούτων		PRON	number=PLURAL|gender=NEUTER|case=GENITIVE	
5	Δωριεὺς		NN	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
6	ὁ			number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
7	Διαγόρου		NN	number=SINGULAR|gender=MASCULINE|case=GENITIVE	
8	ἐκ		PREP	_	
9	Ῥόδου		NN	number=SINGULAR|gender=FEMININE|case=GENITIVE	
10	εἰς		PREP	_	
11	Ἑλλήσποντον		NN	number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
12	εἰσέπλει		VB	person=PERSON_3|number=SINGULAR|tense=IMP|mood=INDICATIVE|voice=ACTIVE	
13	ἀρχομένου		VB	number=SINGULAR|tense=PR|mood=PARTICIPLE|gender=MASCULINE|case=GENITIVE	
14	χειμῶνος		NN	number=SINGULAR|gender=MASCULINE|case=GENITIVE	
15	τέτταρσι		NN	number=PLURAL|gender=MASCULINE|case=DATIVE	
16	καὶ		CONJ	_	
17	δέκα		ADJ	_	
18	ναυσὶν		NN	number=PLURAL|gender=FEMININE|case=DATIVE	
19	ἅμα		PREP	_	
20	ἡμέρᾳ		NN	number=SINGULAR|gender=FEMININE|case=DATIVE	
1	κατιδὼν		VB	number=SINGULAR|mood=PARTICIPLE|voice=ACTIVE|gender=MASCULINE|case=NOMINATIVE	
2	δὲ		ADV	_	
3	ὁ			number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
4	τῶν			number=PLURAL|gender=MASCULINE|case=GENITIVE	
5	Ἀθηναίων		NN	number=PLURAL|gender=MASCULINE|case=GENITIVE	
6	ἡμεροσκόπος		NN	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
7	ἐσήμηνε		VB	person=PERSON_3|number=SINGULAR|mood=INDICATIVE|voice=ACTIVE	
8	τοῖς			number=PLURAL|gender=MASCULINE|case=DATIVE	
