1	Cenabis	ceno	VB	person=PERSON_2|number=SINGULAR|tense=FUTURE|mood=INDICATIVE|voice=ACTIVE	
2	bene	bene	ADV	_	
3	mi	meus	ADJ	number=SINGULAR|gender=MASCULINE|case=VOCATIVE	
4	Fabulle	Fabullus	NN	number=SINGULAR|gender=MASCULINE|case=VOCATIVE	
5	apud	apud	PREP	_	
6	me	ego	PRON	number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
7	paucis	paucus	ADJ	number=PLURAL|gender=MASCULINE|case=ABLATIVE	
8	si	si	CONJ	_	
9	tibi	tu	PRON	number=SINGULAR|gender=MASCULINE|case=DATIVE	
10	di	deus	NN	number=PLURAL|gender=MASCULINE|case=NOMINATIVE	
11	favent	faveo	VB	person=PERSON_3|number=PLURAL|tense=PR|mood=INDICATIVE|voice=ACTIVE	
12	diebus	dies	NN	number=PLURAL|gender=MASCULINE|case=ABLATIVE	
13	si	si	CONJ	_	
14	te	tu	PRON	number=SINGULAR|gender=MASCULINE|case=ABLATIVE	
15	-cum	cum	PREP	_	
16	attuleris	affero	VB	person=PERSON_2|number=SINGULAR|tense=FUTUREPERFECT|mood=INDICATIVE|voice=ACTIVE	
17	bonam	bonus	ADJ	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
18	atque	atque	CONJ	_	
19	magnam	magnus	ADJ	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
20	cenam	cena	NN	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
21	non	non	ADV	_	
22	sine	sine	PREP	_	
23	candida	candida	NN	number=SINGULAR|gender=FEMININE|case=ABLATIVE	
24	puella	puella	NN	number=SINGULAR|gender=FEMININE|case=ABLATIVE	
25	et	et	CONJ	_	
26	vino	vinum	NN	number=SINGULAR|gender=NEUTER|case=ABLATIVE	
27	et	et	CONJ	_	
28	sale	sal	NN	number=SINGULAR|gender=MASCULINE|case=ABLATIVE	
29	et	et	CONJ	_	
30	omnibus	omnis	ADJ	number=PLURAL|gender=MASCULINE|case=ABLATIVE	
31	cachinnis	cachinnus	NN	number=PLURAL|gender=MASCULINE|case=ABLATIVE	
1	haec	hic	PRON	number=PLURAL|gender=NEUTER|case=ACCUSATIVE	
2	si	si	CONJ	_	
3	inquam	inquam	VB	person=PERSON_1|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
4	attuleris	affero	VB	person=PERSON_2|number=SINGULAR|tense=FUTUREPERFECT|mood=INDICATIVE|voice=ACTIVE	
5	venuste	venustus	ADJ	number=SINGULAR|gender=MASCULINE|case=VOCATIVE	
6	noster	noster	ADJ	number=SINGULAR|gender=MASCULINE|case=VOCATIVE	
7	cenabis	ceno	VB	person=PERSON_2|number=SINGULAR|tense=FUTURE|mood=INDICATIVE|voice=ACTIVE	
8	bene	bene	ADV	_	
1	nam	nam	CONJ	_	
2	tui	tuus	ADJ	number=SINGULAR|gender=MASCULINE|case=GENITIVE	
3	Catulli	Catullus	NN	number=SINGULAR|gender=MASCULINE|case=GENITIVE	
4	plenus	plenus	ADJ	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
5	sacculus	sacculus	NN	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
6	est	sum	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
7	aranearum	aranea	NN	number=PLURAL|gender=FEMININE|case=GENITIVE	
1	sed	sed	CONJ	_	
2	contra	contra	ADV	_	
3	accipies	accipio	VB	person=PERSON_2|number=SINGULAR|tense=FUTURE|mood=INDICATIVE|voice=ACTIVE	
4	meros	merus	ADJ	number=PLURAL|gender=MASCULINE|case=ACCUSATIVE	
5	amores	amor	NN	number=PLURAL|gender=MASCULINE|case=ACCUSATIVE	
6	seu	sive	CONJ	_	
7	quid	quis	NN	number=SINGULAR|gender=NEUTER|case=NOMINATIVE	
8	suavius	suavis	ADJ	number=SINGULAR|gender=NEUTER|case=NOMINATIVE|degree=COMPARATIVE	
9	elegantius	elegans	ADJ	number=SINGULAR|gender=NEUTER|case=NOMINATIVE|degree=COMPARATIVE	
10	-ve	ve	CONJ	_	
11	est	sum	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
1	nam	nam	CONJ	_	
2	unguentum	unguentum	NN	number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
3	dabo	do	VB	person=PERSON_1|number=SINGULAR|tense=FUTURE|mood=INDICATIVE|voice=ACTIVE	
