1	In	in	PREP	_	
2	omni	omnis	ADJ	number=SINGULAR|gender=FEMININE|case=ABLATIVE	
3	Gallia	Gallia	NN	number=SINGULAR|gender=FEMININE|case=ABLATIVE	
4	eorum	is	PRON	number=PLURAL|gender=MASCULINE|case=GENITIVE	
5	hominum	homo	NN	number=PLURAL|gender=MASCULINE|case=GENITIVE	
6	qui	qui	PRON	number=PLURAL|gender=MASCULINE|case=NOMINATIVE	
7	aliquo	aliquis	PRON	number=SINGULAR|gender=MASCULINE|case=ABLATIVE	
8	sunt	sum	VB	person=PERSON_3|number=PLURAL|tense=PR|mood=INDICATIVE|voice=ACTIVE	
9	numero	numerus	NN	number=SINGULAR|gender=MASCULINE|case=ABLATIVE	
10	atque	atque	CONJ	_	
11	honore	honor	NN	number=SINGULAR|gender=MASCULINE|case=ABLATIVE	
12	genera	genus	NN	number=PLURAL|gender=NEUTER|case=NOMINATIVE	
13	sunt	sum	VB	person=PERSON_3|number=PLURAL|tense=PR|mood=INDICATIVE|voice=ACTIVE	
14	duo	duo	ADJ	number=PLURAL|gender=NEUTER|case=NOMINATIVE	
1	Nam	nam	CONJ	_	
2	plebes	plebes	NN	number=SINGULAR|gender=FEMININE|case=NOMINATIVE	
3	paene	paene	ADV	_	
4	servorum	servus	NN	number=PLURAL|gender=MASCULINE|case=GENITIVE	
5	habetur	habeo	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=PASSIVE	
6	loco	locus	NN	number=SINGULAR|gender=MASCULINE|case=ABLATIVE	
7	quae	qui	PRON	number=SINGULAR|gender=FEMININE|case=NOMINATIVE	
8	nihil	nihil	IRREG	number=SINGULAR|gender=NEUTER	
9	audet	audeo	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
10	per	per	PREP	_	
11	se	sui	PRON	number=PLURAL|gender=MASCULINE|case=ACCUSATIVE	
12	nullo	nullus	ADJ	number=SINGULAR|gender=NEUTER|case=ABLATIVE	
13	adhibetur	adhibeo	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=PASSIVE	
14	consilio	consilium	NN	number=SINGULAR|gender=NEUTER|case=ABLATIVE	
1	Plerique	plerus	ADJ	number=PLURAL|gender=MASCULINE|case=NOMINATIVE	
2	cum	cum	CONJ	_	
3	aut	aut	CONJ	_	
4	aere	aes	NN	number=SINGULAR|gender=MASCULINE|case=ABLATIVE	
5	alieno	alienus	ADJ	number=SINGULAR|gender=MASCULINE|case=ABLATIVE	
6	aut	aut	CONJ	_	
7	magnitudine	magnitudo	NN	number=SINGULAR|gender=FEMININE|case=ABLATIVE	
8	tributorum	tributor	NN	number=PLURAL|gender=MASCULINE|case=GENITIVE	
9	aut	aut	CONJ	_	
10	iniuria	injuria	NN	number=SINGULAR|gender=FEMININE|case=ABLATIVE	
11	potentiorum	potens	ADJ	number=PLURAL|case=GENITIVE|degree=COMPARATIVE	
12	premuntur	premo	VB	person=PERSON_3|number=PLURAL|tense=PR|mood=INDICATIVE|voice=PASSIVE	
13	sese	sui	PRON	number=PLURAL|gender=MASCULINE|case=ACCUSATIVE	
14	in	in	PREP	_	
15	servitutem	servitus	NN	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
16	dicant	dico	VB	person=PERSON_3|number=PLURAL|tense=PR|mood=INDICATIVE|voice=ACTIVE	
17	nobilibus	nobilis	ADJ	number=PLURAL|gender=MASCULINE|case=DATIVE	
18	in	in	PREP	_	
19	hos	hic	PRON	number=PLURAL|gender=MASCULINE|case=ACCUSATIVE	
20	eadem	idem	PRON	number=PLURAL|gender=NEUTER|case=NOMINATIVE	
21	omnia	omnis	ADJ	number=PLURAL|gender=NEUTER|case=NOMINATIVE	
22	sunt	sum	VB	person=PERSON_3|number=PLURAL|tense=PR|mood=INDICATIVE|voice=ACTIVE	
23	iura	jus	NN	number=PLURAL|gender=NEUTER|case=NOMINATIVE	
