1	Initium	initium	NN	number=SINGULAR|gender=NEUTER|case=NOMINATIVE	
2	mihi	ego	PRON	number=SINGULAR|gender=MASCULINE|case=DATIVE	
3	operis	opus	NN	number=SINGULAR|gender=NEUTER|case=GENITIVE	
4	Servius	Servius	NN	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
5	Galba	Galba	NN	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
6	iterum	iterum	ADV	_	
7	Titus	Titus	NN	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
8	Vinius	Vinius	NN	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
9	consules	consul	NN	number=PLURAL|gender=MASCULINE|case=NOMINATIVE	
10	erunt	sum	VB	person=PERSON_3|number=PLURAL|tense=FUTURE|mood=INDICATIVE|voice=ACTIVE	
1	nam	nam	CONJ	_	
2	post	post	PREP	_	
3	conditam	condo	VB	number=SINGULAR|tense=PERF|mood=PARTICIPLE|voice=PASSIVE|gender=FEMININE|case=ACCUSATIVE	
4	urbem	urbs	NN	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
5	octingentos	octingenti	NRL	number=PLURAL|gender=MASCULINE|case=ACCUSATIVE	
6	et	et	CONJ	_	
7	viginti	viginti	NRL	_	
8	prioris	prior	ADJ	number=SINGULAR|gender=NEUTER|case=GENITIVE|degree=COMPARATIVE	
9	aevi	aevum	NN	number=SINGULAR|gender=NEUTER|case=GENITIVE	
10	annos	annus	NN	number=PLURAL|gender=MASCULINE|case=ACCUSATIVE	
11	multi	multus	ADJ	number=PLURAL|gender=MASCULINE|case=NOMINATIVE	
12	auctores	auctor	NN	number=PLURAL|gender=MASCULINE|case=NOMINATIVE	
13	rettulerunt	refero	VB	person=PERSON_3|number=PLURAL|tense=PERF|mood=INDICATIVE|voice=ACTIVE	
14	dum	dum	CONJ	_	
15	res	res	NN	number=PLURAL|gender=FEMININE|case=NOMINATIVE	
16	populi	populus	NN	number=SINGULAR|gender=MASCULINE|case=GENITIVE	
17	Romani	Romanus	ADJ	number=SINGULAR|gender=MASCULINE|case=GENITIVE	
18	memorabantur	memoro	VB	person=PERSON_3|number=PLURAL|tense=IMP|mood=INDICATIVE|voice=PASSIVE	
19	pari	par	ADJ	number=SINGULAR|gender=FEMININE|case=ABLATIVE	
20	eloquentia	eloquentia	NN	number=SINGULAR|gender=FEMININE|case=ABLATIVE	
21	ac	atque	CONJ	_	
22	libertate	libertas	NN	number=SINGULAR|gender=FEMININE|case=ABLATIVE	
1	postquam	postquam	CONJ	_	
2	bellatum	bello	VB	number=SINGULAR|tense=PERF|mood=PARTICIPLE|voice=PASSIVE|gender=NEUTER|case=NOMINATIVE	
3	apud	apud	PREP	_	
4	Actium	Actium	NN	number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
5	atque	atque	CONJ	_	
6	omnem	omnis	ADJ	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
7	potentiam	potentia	NN	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
8	ad	ad	PREP	_	
9	unum	unus	NRL	number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
10	conferri	confero	VB	tense=PR|mood=INFINITIVE|voice=PASSIVE	
11	pacis	pax	NN	number=SINGULAR|gender=FEMININE|case=GENITIVE	
12	interfuit	intersum	VB	person=PERSON_3|number=SINGULAR|tense=PERF|mood=INDICATIVE|voice=ACTIVE	
13	magna	magnus	ADJ	number=PLURAL|gender=NEUTER|case=NOMINATIVE	
14	illa	ille	PRON	number=PLURAL|gender=NEUTER|case=NOMINATIVE	
15	ingenia	ingenium	NN	number=PLURAL|gender=NEUTER|case=NOMINATIVE	
16	cessere	cedo	VB	person=PERSON_3|number=PLURAL|tense=PERF|mood=INDICATIVE|voice=ACTIVE	
1	simul	simul	ADV	_	
2	veritas	veritas	NN	number=SINGULAR|gender=FEMININE|case=NOMINATIVE	
3	pluribus	multus	ADJ	number=PLURAL|gender=MASCULINE|case=ABLATIVE|degree=COMPARATIVE	
4	modis	modus	NN	number=PLURAL|gender=MASCULINE|case=ABLATIVE	
5	infracta	infringo	VB	number=SINGULAR|tense=PERF|mood=PARTICIPLE|voice=PASSIVE|gender=FEMININE|case=NOMINATIVE	
6	primum	primus	ADV	_	
7	inscitia	inscitia	NN	number=SINGULAR|gender=FEMININE|case=ABLATIVE	
8	rei	res	NN	number=SINGULAR|gender=FEMININE|case=GENITIVE	
9	publicae	publicus	ADJ	number=SINGULAR|gender=FEMININE|case=GENITIVE	
10	ut	ut	CONJ	_	
11	alienae	alienus	ADJ	number=SINGULAR|gender=FEMININE|case=GENITIVE	
12	mox	mox	ADV	_	
13	libidine	libido	NN	number=SINGULAR|gender=FEMININE|case=ABLATIVE	
14	adsentandi	assentor	VB	mood=GERUND	
15	aut	aut	CONJ	_	
16	rursus	rursus	ADV	_	
17	odio	odium	NN	number=SINGULAR|gender=NEUTER|case=ABLATIVE	
18	adversus	adversus	PREP	_	
19	dominantis	dominor	VB	number=PLURAL|tense=PR|mood=PARTICIPLE|gender=MASCULINE|case=ACCUSATIVE	
1	ita	ita	ADV	_	
2	neutris	neuter	ADJ	number=PLURAL|gender=MASCULINE|case=DATIVE	
3	cura	cura	NN	number=SINGULAR|gender=FEMININE|case=NOMINATIVE	
4	posteritatis	posteritas	NN	number=SINGULAR|gender=FEMININE|case=GENITIVE	
5	inter	inter	PREP	_	
6	infensos	infensus	ADJ	number=PLURAL|gender=MASCULINE|case=ACCUSATIVE	
7	vel	vel	CONJ	_	
8	obnoxios	obnoxius	ADJ	number=PLURAL|gender=MASCULINE|case=ACCUSATIVE	
9	est	sum	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
1	sed	sed	CONJ	_	
2	ambitionem	ambitio	NN	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
3	scriptoris	scriptor	NN	number=SINGULAR|gender=MASCULINE|case=GENITIVE	
4	facile	facilis	ADV	_	
5	averseris	aversor	VB	person=PERSON_2|number=SINGULAR|tense=PR|mood=SUBJUNCTIVE|voice=DEPONENS	
6	obtrectatio	obtrectatio	NN	number=SINGULAR|gender=FEMININE|case=NOMINATIVE	
7	et	et	CONJ	_	
8	livor	livor	NN	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
9	pronis	pronus	ADJ	number=PLURAL|gender=FEMININE|case=ABLATIVE	
10	auribus	auris	NN	number=PLURAL|gender=FEMININE|case=ABLATIVE	
11	accipiuntur	accipio	VB	person=PERSON_3|number=PLURAL|tense=PR|mood=INDICATIVE|voice=PASSIVE	
1	quippe	quippe	ADV	_	
2	adulationi	adulatio	NN	number=SINGULAR|gender=FEMININE|case=DATIVE	
3	foedum	foedus	ADJ	number=SINGULAR|gender=NEUTER|case=NOMINATIVE	
4	crimen	crimen	NN	number=SINGULAR|gender=NEUTER|case=NOMINATIVE	
5	servitutis	servitus	NN	number=SINGULAR|gender=FEMININE|case=GENITIVE	
6	malignitati	malignitas	NN	number=SINGULAR|gender=FEMININE|case=DATIVE	
7	falsa	fallo	VB	number=SINGULAR|tense=PERF|mood=PARTICIPLE|voice=PASSIVE|gender=FEMININE|case=NOMINATIVE	
8	species	species	NN	number=SINGULAR|gender=FEMININE|case=NOMINATIVE	
9	libertatis	libertas	NN	number=SINGULAR|gender=FEMININE|case=GENITIVE	
10	inest	insum	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
11	inest	insum	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
1	mihi	ego	PRON	number=SINGULAR|gender=MASCULINE|case=DATIVE	
2	Galba	Galba	NN	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
3	Otho	Otho	NN	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
4	Vitellius	Vitellius	NN	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
5	nec	neque	CONJ	_	
6	beneficio	beneficium	NN	number=SINGULAR|gender=NEUTER|case=ABLATIVE	
7	nec	neque	CONJ	_	
8	iniuria	injuria	NN	number=SINGULAR|gender=FEMININE|case=ABLATIVE	
9	cogniti	cognosco	VB	number=PLURAL|tense=PERF|mood=PARTICIPLE|voice=PASSIVE|gender=MASCULINE|case=NOMINATIVE	
1	dignitatem	dignitas	NN	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
2	nostram	noster	PRON	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
3	a	ab	PREP	_	
4	Vespasiano	Vespasianus	NN	number=SINGULAR|gender=MASCULINE|case=ABLATIVE	
5	incohatam	incoho	VB	number=SINGULAR|tense=PERF|mood=PARTICIPLE|voice=PASSIVE|gender=FEMININE|case=ACCUSATIVE	
6	a	ab	PREP	_	
7	Tito	Titus	NN	number=SINGULAR|gender=MASCULINE|case=ABLATIVE	
8	auctam	augeo	VB	number=SINGULAR|tense=PERF|mood=PARTICIPLE|voice=PASSIVE|gender=FEMININE|case=ACCUSATIVE	
9	a	ab	PREP	_	
10	Domitiano	Domitianus	NN	number=SINGULAR|gender=MASCULINE|case=ABLATIVE	
11	longius	longus	ADV	degree=COMPARATIVE	
12	provectam	proveho	VB	number=SINGULAR|tense=PERF|mood=PARTICIPLE|voice=PASSIVE|gender=FEMININE|case=ACCUSATIVE	
13	non	non	ADV	_	
14	abnuerim	abnuo	VB	person=PERSON_1|number=SINGULAR|tense=PERF|mood=SUBJUNCTIVE|voice=ACTIVE	
1	sed	sed	CONJ	_	
2	incorruptam	incorruptus	ADJ	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
3	fidem	fides	NN	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
4	professis	profiteor	VB	number=PLURAL|tense=PERF|mood=PARTICIPLE|voice=DEPONENS|gender=MASCULINE|case=DATIVE	
5	neque	neque	CONJ	_	
6	amore	amor	NN	number=SINGULAR|gender=MASCULINE|case=ABLATIVE	
7	quisquam	quisquam	PRON	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
8	et	et	CONJ	_	
9	sine	sine	PREP	_	
10	odio	odium	NN	number=SINGULAR|gender=NEUTER|case=ABLATIVE	
11	dicendus	dico	VB	number=SINGULAR|mood=GERUNDIVE|gender=MASCULINE|case=NOMINATIVE	
12	est	sum	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
1	quod	quod	CONJ	_	
2	si	si	CONJ	_	
3	vita	vita	NN	number=SINGULAR|gender=FEMININE|case=NOMINATIVE	
4	suppeditet	suppedito	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=SUBJUNCTIVE|voice=ACTIVE	
5	principatum	principatus	NN	number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
6	divi	divus	ADJ	number=SINGULAR|gender=MASCULINE|case=GENITIVE	
7	Nervae	Nerva	NN	number=SINGULAR|gender=MASCULINE|case=GENITIVE	
8	et	et	CONJ	_	
9	imperium	imperium	NN	number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
10	Traiani	Trajanus	NN	number=SINGULAR|gender=MASCULINE|case=GENITIVE	
11	uberiorem	uber	ADJ	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE|degree=COMPARATIVE	
