1	Ἡροδότου		NN	number=SINGULAR|gender=MASCULINE|case=GENITIVE	
2	Ἁλικαρνησσέος		NN	number=SINGULAR|gender=MASCULINE|case=GENITIVE	
3	ἱστορίης		NN	number=SINGULAR|gender=FEMININE|case=GENITIVE	
4	ἀπόδεξις		NN	number=SINGULAR|gender=FEMININE|case=NOMINATIVE	
5	ἥδε		PRON	number=SINGULAR|gender=FEMININE|case=NOMINATIVE	
6	ὡς		CONJ	_	
7	μήτε		ADV	_	
8	τὰ			number=PLURAL|gender=NEUTER|case=NOMINATIVE	
9	γενόμενα		VB	number=PLURAL|mood=PARTICIPLE|gender=NEUTER|case=NOMINATIVE	
10	ἐξ		PREP	_	
11	ἀνθρώπων		NN	number=PLURAL|gender=MASCULINE|case=GENITIVE	
12	τῷ			number=SINGULAR|gender=MASCULINE|case=DATIVE	
13	χρόνῳ		NN	number=SINGULAR|gender=MASCULINE|case=DATIVE	
14	ἐξίτηλα		ADJ	number=PLURAL|gender=NEUTER|case=NOMINATIVE	
15	γένηται		VB	person=PERSON_3|number=SINGULAR|mood=SUBJUNCTIVE	
16	μήτε		CONJ	_	
17	ἔργα		NN	number=PLURAL|gender=NEUTER|case=NOMINATIVE	
18	μεγάλα		ADJ	gender=FEMININE|case=NOMINATIVE	
19	τε		ADV	_	
20	καὶ		CONJ	_	
21	θωμαστά		ADJ	number=PLURAL|gender=NEUTER|case=NOMINATIVE	
22	τὰ			number=PLURAL|gender=NEUTER|case=NOMINATIVE	
23	μὲν		ADV	_	
24	Ἕλλησι		NN	number=PLURAL|gender=MASCULINE|case=DATIVE	
25	τὰ			number=PLURAL|gender=NEUTER|case=NOMINATIVE	
26	δὲ		CONJ	_	
27	βαρβάροισι		ADJ	number=PLURAL|gender=MASCULINE|case=DATIVE	
28	ἀποδεχθέντα		VB	number=PLURAL|mood=PARTICIPLE|voice=PASSIVE|gender=NEUTER|case=NOMINATIVE	
29	ἀκλεᾶ		ADJ	number=PLURAL|gender=NEUTER|case=NOMINATIVE	
30	γένηται		VB	person=PERSON_3|number=SINGULAR|mood=SUBJUNCTIVE	
31	τά			number=PLURAL|gender=NEUTER|case=NOMINATIVE	
32	τε		ADV	_	
33	ἄλλα		PRON	number=PLURAL|gender=NEUTER|case=NOMINATIVE	
34	καὶ		CONJ	_	
35	δἰ		PREP	_	
36	ἣν		ADJ	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
37	αἰτίην		NN	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
38	ἐπολέμησαν		VB	person=PERSON_3|number=PLURAL|mood=INDICATIVE|voice=ACTIVE	
39	ἀλλήλοισι		PRON	number=PLURAL|gender=MASCULINE|case=DATIVE	
40	ἐστιν		VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
41	ἀποδεχθέντα		VB	number=PLURAL|mood=PARTICIPLE|voice=PASSIVE|gender=NEUTER|case=NOMINATIVE	
1	Περσέων		NN	number=PLURAL|gender=MASCULINE|case=GENITIVE	
2	μέν		ADV	_	
3	νυν		ADV	_	
4	οἱ			number=PLURAL|gender=MASCULINE|case=NOMINATIVE	
5	λόγιοι		ADJ	number=PLURAL|gender=MASCULINE|case=NOMINATIVE	
6	Φοίνικας		NN	number=PLURAL|gender=MASCULINE|case=ACCUSATIVE	
7	αἰτίους		ADJ	number=PLURAL|gender=MASCULINE|case=ACCUSATIVE	
8	φασὶ		VB	person=PERSON_3|number=PLURAL|tense=PR|mood=INDICATIVE|voice=ACTIVE	
9	γενέσθαι		VB	mood=INFINITIVE	
10	τῆς			number=SINGULAR|gender=FEMININE|case=GENITIVE	
11	διαφορῆς		NN	number=SINGULAR|gender=FEMININE|case=GENITIVE	
1	τούτους		PRON	number=PLURAL|gender=MASCULINE|case=ACCUSATIVE	
2	γὰρ		ADV	_	
3	ἀπὸ		PREP	_	
4	τῆς			number=SINGULAR|gender=FEMININE|case=GENITIVE	
5	Ἐρυθρῆς		ADJ	number=SINGULAR|gender=FEMININE|case=GENITIVE	
6	καλεομένης		VB	number=SINGULAR|tense=FUTURE|mood=PARTICIPLE|gender=FEMININE|case=GENITIVE	
7	θαλάσσης		NN	number=SINGULAR|gender=FEMININE|case=GENITIVE	
8	ἀπικομένους		VB	number=PLURAL|mood=PARTICIPLE|gender=MASCULINE|case=ACCUSATIVE	
9	ἐπὶ		PREP	_	
10	τήνδε		ADJ	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
11	τὴν			number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
12	θάλασσαν		NN	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
13	καὶ		CONJ	_	
14	οἰκήσαντας		VB	number=PLURAL|mood=PARTICIPLE|voice=ACTIVE|gender=MASCULINE|case=ACCUSATIVE	
15	τοῦτον		ADJ	number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
16	τὸν			number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
17	χῶρον		NN	number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
18	τὸν		PRON	number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
19	καὶ		ADV	_	
20	νῦν		ADV	_	
21	οἰκέουσι		VB	person=PERSON_3|number=PLURAL|tense=PR|mood=INDICATIVE|voice=ACTIVE	
22	αὐτίκα		ADV	_	
23	ναυτιλίῃσι		NN	number=PLURAL|gender=FEMININE|case=DATIVE	
24	μακρῇσι		ADJ	number=PLURAL|gender=FEMININE|case=DATIVE	
25	ἐπιθέσθαι		VB	mood=INFINITIVE	
26	ἀπαγινέοντας		VB	number=PLURAL|tense=PR|mood=PARTICIPLE|voice=ACTIVE|gender=MASCULINE|case=ACCUSATIVE	
27	δὲ		CONJ	_	
28	φορτία		NN	number=PLURAL|gender=NEUTER|case=ACCUSATIVE	
29	Αἰγύπτιά		ADJ	number=PLURAL|gender=NEUTER|case=ACCUSATIVE	
30	τε		ADV	_	
31	καὶ		CONJ	_	
32	Ἀσσύρια		ADJ	number=PLURAL|gender=NEUTER|case=ACCUSATIVE	
33	τῇ			number=SINGULAR|gender=FEMININE|case=DATIVE	
34	τε		ADV	_	
35	ἄλλῃ		PRON	number=SINGULAR|gender=FEMININE|case=DATIVE	
36	ἐσαπικνέεσθαι		VB	tense=PR|mood=INFINITIVE	
37	καὶ		CONJ	_	
38	δὴ		ADV	_	
39	καὶ		ADV	_	
40	ἐς		PREP	_	
41	Ἄργος		NN	number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
1	τὸ			number=SINGULAR|gender=NEUTER|case=NOMINATIVE	
2	δὲ		ADV	_	
3	Ἄργος		NN	number=SINGULAR|gender=NEUTER|case=NOMINATIVE	
4	τοῦτον		ADJ	number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
5	τὸν			number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
