1	μοῦσαι	Μοῦσα	NN	number=PLURAL|gender=FEMININE|case=VOCATIVE	
2	Πιερίηθεν	Πιερίηθεν	ADV	_	
3	ἀοιδῇσιν	ἀοιδή	NN	number=PLURAL|gender=FEMININE|case=DATIVE	
4	κλείουσαι	κλείω	VB	number=PLURAL|tense=PR|mood=PARTICIPLE|voice=ACTIVE|gender=FEMININE|case=VOCATIVE	
5	δεῦτε	δεῦτε	ADV	_	
6	Δί̓	Ζεύς	NN	number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
7	ἐννέπετε	ἐνέπω	VB	person=PERSON_2|number=PLURAL|tense=PR|mood=IMPERATIVE|voice=ACTIVE	
8	σφέτερον	σφέτερος	ADJ	number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
9	πατέῤ	πατήρ	NN	number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
10	ὑμνείουσαι	ὑμνέω	VB	number=PLURAL|tense=PR|mood=PARTICIPLE|voice=ACTIVE|gender=FEMININE|case=NOMINATIVE	
1	ὅντε	ὅστε	PRON	number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
2	διὰ	διά	PREP	_	
3	βροτοὶ	βροτός	NN	number=PLURAL|gender=MASCULINE|case=NOMINATIVE	
4	ἄνδρες	ἀνήρ	NN	number=PLURAL|gender=MASCULINE|case=NOMINATIVE	
5	ὁμῶς	ὁμῶς	ADV	_	
6	ἄφατοί	ἄφατος	ADJ	number=PLURAL|gender=MASCULINE|case=NOMINATIVE	
7	τε	τε		_	
8	φατοί	φατός	ADJ	number=PLURAL|gender=MASCULINE|case=NOMINATIVE	
9	τε	τε		_	
10	ῥητοί	ῥητός	ADJ	number=PLURAL|gender=MASCULINE|case=NOMINATIVE	
11	τ̓	τε		_	
12	ἄρρητοί	ἄρρητος	ADJ	number=PLURAL|gender=MASCULINE|case=NOMINATIVE	
13	τε	τε		_	
14	Διὸς	Ζεύς	NN	number=SINGULAR|gender=MASCULINE|case=GENITIVE	
15	μεγάλοιο	μέγας	ADJ	number=SINGULAR|gender=MASCULINE|case=GENITIVE	
16	ἕκητι	ἕκητι	ADV	_	
1	ῥέα	ῥέα	ADV	_	
2	μὲν	μέν		_	
3	γὰρ	γάρ		_	
4	βριάει	βριάω	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
5	ῥέα	ῥέα	ADV	_	
6	δὲ	δέ		_	
7	βριάοντα	βριάω	VB	number=SINGULAR|tense=PR|mood=PARTICIPLE|voice=ACTIVE|gender=MASCULINE|case=ACCUSATIVE	
8	χαλέπτει	χαλέπτω	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
9	ῥεῖα	ῥεῖα	ADV	_	
10	δ̓	δέ		_	
11	ἀρίζηλον	ἀρίζηλος	ADJ	number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
