1	Apocalypsis	apocalypsis	NN	number=SINGULAR|gender=FEMININE|case=NOMINATIVE	
2	Iesu	Iesus	NN	number=SINGULAR|gender=MASCULINE|case=GENITIVE	
3	Christi	Christus	NN	number=SINGULAR|gender=MASCULINE|case=GENITIVE	
4	quam	qui	PRON	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
5	dedit	dedo	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
6	illi	ille	PRON	number=SINGULAR|gender=MASCULINE|case=DATIVE	
7	Deus	deus	NN	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
8	palam	palam	ADV	_	
9	facere	facio	VB	tense=PR|mood=INFINITIVE|voice=ACTIVE	
10	servis	servus	NN	number=PLURAL|gender=MASCULINE|case=DATIVE	
11	suis	suus	ADJ	number=PLURAL|gender=MASCULINE|case=DATIVE	
12	quae	qui	PRON	number=PLURAL|gender=NEUTER|case=ACCUSATIVE	
13	oportet	oportet	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
14	fieri	fio	VB	tense=PR|mood=INFINITIVE|voice=PASSIVE	
15	cito	cito	ADV	_	
16	et	et	CONJ	_	
17	significavit	significo	VB	person=PERSON_3|number=SINGULAR|tense=PERF|mood=INDICATIVE|voice=ACTIVE	
18	mittens	mitto	VB	number=SINGULAR|tense=PR|mood=PARTICIPLE|voice=ACTIVE|gender=MASCULINE|case=NOMINATIVE	
19	per	per	PREP	_	
20	angelum	angelus	NN	number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
21	suum	suus	ADJ	number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
22	servo	servus	NN	number=SINGULAR|gender=MASCULINE|case=DATIVE	
23	suo	suus	ADJ	number=SINGULAR|gender=MASCULINE|case=DATIVE	
24	Iohanni	Iohannes	NN	number=SINGULAR|gender=MASCULINE|case=DATIVE	
1	qui	qui	PRON	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
2	testimonium	testimonium	NN	number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
3	perhibuit	perhibeo	VB	person=PERSON_3|number=SINGULAR|tense=PERF|mood=INDICATIVE|voice=ACTIVE	
4	verbo	verbum	NN	number=SINGULAR|gender=NEUTER|case=DATIVE	
5	Dei	deus	NN	number=SINGULAR|gender=MASCULINE|case=GENITIVE	
6	et	et	CONJ	_	
7	testimonium	testimonium	NN	number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
8	Iesu	Iesus	NN	number=SINGULAR|gender=MASCULINE|case=GENITIVE	
9	Christi	Christus	NN	number=SINGULAR|gender=MASCULINE|case=GENITIVE	
10	quaecumque	quicumque	PRON	number=PLURAL|gender=NEUTER|case=ACCUSATIVE	
11	vidit	video	VB	person=PERSON_3|number=SINGULAR|tense=PERF|mood=INDICATIVE|voice=ACTIVE	
1	beatus	beatus	ADJ	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
2	qui	qui	PRON	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
3	legit	lego	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
4	et	et	CONJ	_	
5	qui	qui	PRON	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
6	audiunt	audio	VB	person=PERSON_3|number=PLURAL|tense=PR|mood=INDICATIVE|voice=ACTIVE	
7	verba	verbum	NN	number=PLURAL|gender=NEUTER|case=ACCUSATIVE	
8	prophetiae	prophetia	NN	number=SINGULAR|gender=FEMININE|case=GENITIVE	
9	et	et	CONJ	_	
10	servant	servo	VB	person=PERSON_3|number=PLURAL|tense=PR|mood=INDICATIVE|voice=ACTIVE	
11	ea	is	PRON	number=PLURAL|gender=NEUTER|case=ACCUSATIVE	
12	quae	qui	PRON	number=PLURAL|gender=NEUTER|case=NOMINATIVE	
13	in	in	PREP	_	
14	ea	is	PRON	number=SINGULAR|gender=FEMININE|case=ABLATIVE	
15	scripta	scribo	VB	number=PLURAL|tense=PERF|mood=PARTICIPLE|voice=PASSIVE|gender=NEUTER|case=NOMINATIVE	
16	sunt	sum	VB	person=PERSON_3|number=PLURAL|tense=PR|mood=INDICATIVE|voice=ACTIVE	
1	tempus	tempus	NN	number=SINGULAR|gender=NEUTER|case=NOMINATIVE	
2	enim	enim	CONJ	_	
3	prope	prope	ADV	_	
4	est	sum	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
1	Iohannes	Iohannes	NN	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
2	septem	septem	NRL	_	
3	ecclesiis	ecclesia	NN	number=PLURAL|gender=FEMININE|case=DATIVE	
4	quae	qui	PRON	number=PLURAL|gender=FEMININE|case=NOMINATIVE	
5	sunt	sum	VB	person=PERSON_3|number=PLURAL|tense=PR|mood=INDICATIVE|voice=ACTIVE	
6	in	in	PREP	_	
7	Asia	Asius	ADJ	number=SINGULAR|gender=FEMININE|case=ABLATIVE	
1	gratia	gratia	NN	number=SINGULAR|gender=FEMININE|case=NOMINATIVE	
2	vobis	tu	PRON	number=PLURAL|gender=MASCULINE|case=DATIVE	
3	et	et	CONJ	_	
4	pax	pax	NN	number=SINGULAR|gender=FEMININE|case=NOMINATIVE	
5	ab	ab	PREP	_	
6	eo	is	PRON	number=SINGULAR|gender=MASCULINE|case=ABLATIVE	
7	qui	qui	PRON	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
8	est	sum	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
9	et	et	CONJ	_	
10	qui	qui	PRON	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
11	erat	sum	VB	person=PERSON_3|number=SINGULAR|tense=IMP|mood=INDICATIVE|voice=ACTIVE	
12	et	et	CONJ	_	
13	qui	qui	PRON	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
14	venturus	venio	VB	number=SINGULAR|tense=FUTURE|mood=PARTICIPLE|voice=ACTIVE|gender=MASCULINE|case=NOMINATIVE	
15	est	sum	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
16	et	et	CONJ	_	
17	a	ab	PREP	_	
18	septem	septem	NRL	_	
19	spiritibus	spiritus	NN	number=PLURAL|gender=MASCULINE|case=ABLATIVE	
20	qui	qui	PRON	number=PLURAL|gender=MASCULINE|case=NOMINATIVE	
21	in	in	PREP	_	
22	conspectu	conspectus	NN	number=SINGULAR|gender=MASCULINE|case=ABLATIVE	
23	throni	thronus	NN	number=SINGULAR|gender=MASCULINE|case=GENITIVE	
24	eius	is	PRON	number=SINGULAR|gender=MASCULINE|case=GENITIVE	
25	sunt	sum	VB	person=PERSON_3|number=PLURAL|tense=PR|mood=INDICATIVE|voice=ACTIVE	
1	et	et	CONJ	_	
2	ab	ab	PREP	_	
3	Iesu	Iesus	NN	number=SINGULAR|gender=MASCULINE|case=ABLATIVE	
4	Christo	Christus	NN	number=SINGULAR|gender=MASCULINE|case=ABLATIVE	
5	qui	qui	PRON	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
6	est	sum	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
7	testis	testis	NN	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
8	fidelis	fidelis	ADJ	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
9	primogenitus	primogenitus	ADJ	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
10	mortuorum	morior	VB	number=PLURAL|tense=PERF|mood=PARTICIPLE|voice=PASSIVE|gender=MASCULINE|case=GENITIVE	
11	et	et	CONJ	_	
12	princeps	princeps	NN	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
13	regum	rex	NN	number=PLURAL|gender=MASCULINE|case=GENITIVE	
14	terrae	terra	NN	number=SINGULAR|gender=FEMININE|case=GENITIVE	
15	qui	qui	PRON	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
16	dilexit	diligo	VB	person=PERSON_3|number=SINGULAR|tense=PERF|mood=INDICATIVE|voice=ACTIVE	
17	nos	nos	PRON	number=PLURAL|gender=MASCULINE|case=ACCUSATIVE	
18	et	et	CONJ	_	
19	lavit	lavo	VB	person=PERSON_3|number=SINGULAR|tense=PERF|mood=INDICATIVE|voice=ACTIVE	
20	nos	nos	PRON	number=PLURAL|gender=MASCULINE|case=ACCUSATIVE	
21	a	ab	PREP	_	
22	peccatis	peccatum	NN	number=PLURAL|gender=NEUTER|case=ABLATIVE	
23	nostris	noster	ADJ	number=PLURAL|gender=NEUTER|case=ABLATIVE	
24	in	in	PREP	_	
25	sanguine	sanguis	NN	number=SINGULAR|gender=MASCULINE|case=ABLATIVE	
26	suo	suus	ADJ	number=SINGULAR|gender=MASCULINE|case=ABLATIVE	
1	et	et	CONJ	_	
2	fecit	facio	VB	person=PERSON_3|number=SINGULAR|tense=PERF|mood=INDICATIVE|voice=ACTIVE	
3	nostrum	nos	PRON	number=PLURAL|gender=MASCULINE|case=GENITIVE	
4	regnum	regnum	NN	number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
5	sacerdotes	sacerdos	NN	number=PLURAL|gender=MASCULINE|case=ACCUSATIVE	
6	Deo	deus	NN	number=SINGULAR|gender=MASCULINE|case=DATIVE	
7	et	et	CONJ	_	
8	Patri	pater	NN	number=SINGULAR|gender=MASCULINE|case=DATIVE	
9	suo	suus	ADJ	number=SINGULAR|gender=MASCULINE|case=DATIVE	
10	ipsi	ipse	PRON	number=SINGULAR|gender=MASCULINE|case=DATIVE	
11	gloria	gloria	NN	number=SINGULAR|gender=FEMININE|case=NOMINATIVE	
12	et	et	CONJ	_	
13	imperium	imperium	NN	number=SINGULAR|gender=NEUTER|case=NOMINATIVE	
14	in	in	PREP	_	
15	saecula	saeculum	NN	number=PLURAL|gender=NEUTER|case=ACCUSATIVE	
16	saeculorum	saeculum	NN	number=PLURAL|gender=NEUTER|case=GENITIVE	
17	amen	amen	ADV	_	
1	ecce	ecce	ADV	_	
2	venit	venio	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
3	cum	cum	PREP	_	
4	nubibus	nubis	NN	number=PLURAL|gender=MASCULINE|case=ABLATIVE	
5	et	et	CONJ	_	
6	videbit	video	VB	person=PERSON_3|number=SINGULAR|tense=FUTURE|mood=INDICATIVE|voice=ACTIVE	
7	eum	is	PRON	number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
8	omnis	omnis	ADJ	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
9	oculus	oculus	NN	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
10	et	et	CONJ	_	
11	qui	qui	PRON	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
12	eum	is	PRON	number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
13	pupugerunt	pungo	VB	person=PERSON_3|number=PLURAL|tense=PERF|mood=INDICATIVE|voice=ACTIVE	
14	et	et	CONJ	_	
15	plangent	plango	VB	person=PERSON_3|number=PLURAL|tense=FUTURE|mood=INDICATIVE|voice=ACTIVE	
16	se	sui	PRON	number=PLURAL|gender=MASCULINE|case=ACCUSATIVE	
17	super	super	PREP	_	
18	eum	is	PRON	number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
19	omnes	omnis	ADJ	number=PLURAL|gender=FEMININE|case=NOMINATIVE	
20	tribus	tribus	NN	number=PLURAL|gender=FEMININE|case=NOMINATIVE	
21	terrae	terra	NN	number=SINGULAR|gender=FEMININE|case=GENITIVE	
22	etiam	etiam	ADV	_	
23	amen	amen	ADV	_	
1	ego	ego	PRON	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
2	sum	sum	VB	person=PERSON_1|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
3	Alpha	alpha	NN	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
4	et	et	CONJ	_	
5	Omega	omega	NN	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
6	principium	principium	NN	number=SINGULAR|gender=NEUTER|case=NOMINATIVE	
7	et	et	CONJ	_	
8	finis	finis	NN	number=SINGULAR|gender=FEMININE|case=NOMINATIVE	
9	dicit	dico	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
10	Dominus	dominus	NN	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
11	Deus	deus	NN	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
12	qui	qui	PRON	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
13	est	sum	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
14	et	et	CONJ	_	
15	qui	qui	PRON	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
16	erat	sum	VB	person=PERSON_3|number=SINGULAR|tense=IMP|mood=INDICATIVE|voice=ACTIVE	
17	et	et	CONJ	_	
18	qui	qui	PRON	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
19	venturus	venio	VB	number=SINGULAR|tense=FUTURE|mood=PARTICIPLE|voice=ACTIVE|gender=MASCULINE|case=NOMINATIVE	
20	est	sum	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
21	Omnipotens	omnipotens	ADJ	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
1	ego	ego	PRON	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
2	Iohannes	Iohannes	NN	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
3	frater	frater	NN	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
4	vester	vester	ADJ	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
5	et	et	CONJ	_	
6	particeps	particeps	NN	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
7	in	in	PREP	_	
8	tribulatione	tribulatio	NN	number=SINGULAR|gender=FEMININE|case=ABLATIVE	
9	et	et	CONJ	_	
10	regno	regnum	NN	number=SINGULAR|gender=NEUTER|case=ABLATIVE	
11	et	et	CONJ	_	
12	patientia	patientia	NN	number=SINGULAR|gender=FEMININE|case=ABLATIVE	
13	in	in	PREP	_	
14	Iesu	Iesus	NN	number=SINGULAR|gender=MASCULINE|case=ABLATIVE	
15	fui	sum	VB	person=PERSON_1|number=SINGULAR|tense=PERF|mood=INDICATIVE|voice=ACTIVE	
16	in	in	PREP	_	
17	insula	insula	NN	number=SINGULAR|gender=FEMININE|case=ABLATIVE	
18	quae	qui	PRON	number=SINGULAR|gender=FEMININE|case=NOMINATIVE	
19	appellatur	appello	VB	person=PERSON_3|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=PASSIVE	
20	Patmos	Patmos	NN	number=SINGULAR|gender=FEMININE|case=NOMINATIVE	
21	propter	propter	PREP	_	
22	verbum	verbum	NN	number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
23	Dei	deus	NN	number=SINGULAR|gender=MASCULINE|case=GENITIVE	
24	et	et	CONJ	_	
25	testimonium	testimonium	NN	number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
26	Iesu	Iesus	NN	number=SINGULAR|gender=MASCULINE|case=GENITIVE	
1	fui	sum	VB	person=PERSON_1|number=SINGULAR|tense=PERF|mood=INDICATIVE|voice=ACTIVE	
2	in	in	PREP	_	
3	spiritu	spiritus	NN	number=SINGULAR|gender=MASCULINE|case=ABLATIVE	
4	in	in	PREP	_	
5	dominica	dominicus	ADJ	number=SINGULAR|gender=FEMININE|case=ABLATIVE	
6	die	dies	NN	number=SINGULAR|gender=FEMININE|case=ABLATIVE	
7	et	et	CONJ	_	
8	audivi	audio	VB	person=PERSON_1|number=SINGULAR|tense=PERF|mood=INDICATIVE|voice=ACTIVE	
9	post	post	PREP	_	
10	me	ego	PRON	number=SINGULAR|gender=MASCULINE|case=ACCUSATIVE	
11	vocem	vox	NN	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
12	magnam	magnus	ADJ	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
13	tamquam	tamquam	ADV	_	
14	tubae	tuba	NN	number=SINGULAR|gender=FEMININE|case=GENITIVE	
15	dicentis	dico	VB	number=SINGULAR|tense=PR|mood=PARTICIPLE|voice=ACTIVE|gender=FEMININE|case=GENITIVE	
1	'	QUOTE		_	
2	quod	qui	PRON	number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
3	vides	video	VB	person=PERSON_2|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
4	scribe	scribo	VB	person=PERSON_2|number=SINGULAR|tense=PR|mood=IMPERATIVE|voice=ACTIVE	
5	in	in	PREP	_	
6	libro	liber	NN	number=SINGULAR|gender=MASCULINE|case=ABLATIVE	
7	et	et	CONJ	_	
8	mitte	mitto	VB	person=PERSON_2|number=SINGULAR|tense=PR|mood=IMPERATIVE|voice=ACTIVE	
9	septem	septem	NRL	_	
10	ecclesiis	ecclesia	NN	number=PLURAL|gender=FEMININE|case=DATIVE	
1	Ephesum	Ephesus	NN	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
2	et	et	CONJ	_	
3	Smyrnam	Smyrna	NN	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
4	et	et	CONJ	_	
5	Pergamum	Pergamum	NN	number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
6	et	et	CONJ	_	
7	Thyatiram	Thyatira	NN	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
8	et	et	CONJ	_	
9	Sardis	Sardis	NN	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
10	et	et	CONJ	_	
11	Philadelphiam	Philadelphia	NN	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
12	et	et	CONJ	_	
13	Laodiciam	Laodicia	NN	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
14	'	QUOTE		_	
1	et	et	CONJ	_	
2	conversus	converto	VB	number=SINGULAR|tense=PERF|mood=PARTICIPLE|voice=PASSIVE|gender=MASCULINE|case=NOMINATIVE	
3	sum	sum	VB	person=PERSON_1|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
4	ut	ut	CONJ	_	
5	viderem	video	VB	person=PERSON_1|number=SINGULAR|tense=IMP|mood=SUBJUNCTIVE|voice=ACTIVE	
6	vocem	vox	NN	number=SINGULAR|gender=FEMININE|case=ACCUSATIVE	
7	quae	qui	PRON	number=SINGULAR|gender=FEMININE|case=NOMINATIVE	
8	loquebatur	loquor	VB	person=PERSON_3|number=SINGULAR|tense=IMP|mood=INDICATIVE|voice=PASSIVE	
9	mecum	ego	PRON	number=SINGULAR|gender=MASCULINE|case=ABLATIVE	
1	et	et	CONJ	_	
